epoch,alpha,epsilon,dC,dM,d_cf,d_mono,d_att,d_self,self_f,self_g,Val_sem,self_mass,env_sum_tr,I_sum_tr,self_m_tr,corr_tr,env_sum_val,I_sum_val,self_m_val,corr_val,alpha_used,y_stat_mean,y_sem_mean,y_mix_mean,corr_stat,corr_sem,corr_mix,cf_s0_stat_mean,cf_s0_sem_mean,cf_s0_mix_mean,cf_p0_stat_mean,cf_p0_sem_mean,cf_p0_mix_mean,contrib_stat,contrib_sem,eps_mode,eps_override,alpha_override,mul_real,mul_sem,mul_cf,mul_mono,mul_cos,mul_ent,mul_env,mul_self,self_target
200,0.5,0.012223148602060974,0.24867026507854462,0.2608934136806056,0.2153681516647339,0.0003439434804022312,0.0027100214501842856,0.04247129708528519,0.09981899708509445,0.14229029417037964,0.1521722972393036,0.10000545531511307,0.4574568271636963,0.44272422790527344,0.09981899708509445,0.8486599922180176,0.4575920104980469,0.44267308712005615,0.09973496198654175,0.851823627948761,0.5,0.7081356644630432,0.5500631928443909,0.6290993690490723,0.8945945501327515,0.8486599922180176,0.9690872430801392,0.8462397456169128,0.16415005922317505,0.505194902420044,0.0,0.0,0.0,0.5628169775009155,0.4371830224990845,alpha_override,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1
400,0.5,0.063288782723248,0.1167956292629242,0.1800844119861722,0.07932482659816742,0.0005248794332146645,0.10005693510174751,0.00017777085304260254,0.09999676793813705,0.09981899708509445,0.07038423418998718,0.1003301665186882,0.34241005778312683,0.5575932264328003,0.09999676793813705,0.9440584182739258,0.343129962682724,0.5570181608200073,0.09985199570655823,0.9496729969978333,0.5,0.6321249604225159,0.5889651775360107,0.6105450987815857,0.9334074258804321,0.9440584182739258,0.988013744354248,0.7066160440444946,0.08482523262500763,0.3957206606864929,0.0,0.0,0.0,0.5176726281642914,0.4823273718357086,alpha_override,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1
600,0.5,-0.0337944314815104,0.06135448068380356,0.027560049202293158,0.01716466248035431,0.00041659409180283546,0.009804687462747097,0.00017410516738891602,0.09982266277074814,0.09999676793813705,0.045153144747018814,0.09977754950523376,0.3251632750034332,0.5750141143798828,0.09982266277074814,0.9648681282997131,0.3256778419017792,0.5745422840118408,0.09977992624044418,0.9686337113380432,0.5,0.6327585577964783,0.64010089635849,0.6364297866821289,0.9622196555137634,0.9648681282997131,0.9909778237342834,0.6418570876121521,0.06766057014465332,0.3547588288784027,0.0,0.0,0.0,0.4971157908439636,0.5028842091560364,alpha_override,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1
800,0.5,-0.02432856010273099,0.04093651846051216,0.016607958357781172,0.013490591198205948,0.0006028870120644569,0.002098290715366602,0.00041618943214416504,0.1002388522028923,0.09982266277074814,0.034019943326711655,0.0998973548412323,0.3147333860397339,0.585027813911438,0.1002388522028923,0.9778023958206177,0.31504493951797485,0.5847126841545105,0.10024245828390121,0.9810234904289246,0.5,0.6327143311500549,0.6195901036262512,0.6261522769927979,0.9756587743759155,0.9778023958206177,0.9917888045310974,0.5950573682785034,0.05416997894644737,0.32461366057395935,0.0,0.0,0.0,0.5052400231361389,0.4947599768638611,alpha_override,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1
1000,0.5,-0.004985226783901453,0.016066506505012512,0.01108127972111106,0.009421542286872864,0.0007385932840406895,0.0007912954315543175,0.00012984871864318848,0.10010900348424911,0.1002388522028923,0.03200313076376915,0.10051071643829346,0.3074735999107361,0.5924174785614014,0.10010900348424911,0.9815115928649902,0.30760952830314636,0.5922826528549194,0.10010787099599838,0.9848281741142273,0.5,0.6326125860214233,0.6258711814880371,0.6292418241500854,0.9810174107551575,0.9815115928649902,0.9924167394638062,0.5660191774368286,0.04474843665957451,0.3053838014602661,0.0,0.0,0.0,0.502678394317627,0.49732160568237305,alpha_override,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1
1200,0.5,-0.025022572837769985,0.03444338217377663,0.009420809336006641,0.008316230028867722,0.0007375073619186878,0.00021312804892659187,0.00015394389629364014,0.10026294738054276,0.10010900348424911,0.036028988659381866,0.10011070966720581,0.305040180683136,0.5946969389915466,0.10026294738054276,0.9843456149101257,0.3051014542579651,0.5946288108825684,0.10026982426643372,0.9877749681472778,0.5,0.6292169094085693,0.5946705341339111,0.611943781375885,0.9828348159790039,0.9843456149101257,0.9924113750457764,0.5469409227371216,0.03643220663070679,0.2916865646839142,0.0,0.0,0.0,0.5141133666038513,0.4858866333961487,alpha_override,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1
1225,0.5,-0.027672151220031083,0.02859087847173214,0.000918727251701057,0.00048289448022842407,0.00014517363160848618,1.732714008539915e-05,0.00027333199977874756,0.09998961538076401,0.10026294738054276,0.034148894250392914,0.09987017512321472,0.30448096990585327,0.5955294370651245,0.09998961538076401,0.9843727350234985,0.3045353889465332,0.5954639911651611,0.10000067204236984,0.9878372550010681,0.5,0.6302135586738586,0.623261034488678,0.6267372965812683,0.9831657409667969,0.9843727350234985,0.9925176501274109,0.5454607009887695,0.03691510111093521,0.29118794202804565,0.0,0.0,0.0,0.5027733147144318,0.49722668528556824,alpha_override,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1
1250,0.5,-0.008381314924918115,0.010440373793244362,0.0020590588683262467,0.0018787458539009094,4.119798541069031e-05,5.6229764595627785e-06,0.00013349205255508423,0.09985612332820892,0.09998961538076401,0.033316124230623245,0.10026313364505768,0.3042229115962982,0.5959210395812988,0.09985612332820892,0.983906090259552,0.3042775094509125,0.5958514213562012,0.09987112879753113,0.98729008436203,0.5,0.6297274827957153,0.6322519779205322,0.6309897899627686,0.9834051132202148,0.983906090259552,0.9926332235336304,0.5430140495300293,0.03879384696483612,0.2909039556980133,0.0,0.0,0.0,0.49899977445602417,0.5010002255439758,alpha_override,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1
1275,0.5,-0.040037495200522244,0.04177410155534744,0.0017366063548251987,0.0013861693441867828,1.3308599591255188e-06,1.3360637240111828e-05,0.00033574551343917847,0.1001918688416481,0.09985612332820892,0.03812031075358391,0.10022194683551788,0.30402180552482605,0.5957863330841064,0.1001918688416481,0.9843141436576843,0.30406758189201355,0.5957245826721191,0.1002078726887703,0.9877768754959106,0.5,0.6314992308616638,0.6740172505378723,0.6527581810951233,0.9835461974143982,0.9843141436576843,0.9926142692565918,0.5429280996322632,0.03740767762064934,0.2901679277420044,0.0,0.0,0.0,0.4837160110473633,0.5162839889526367,alpha_override,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1
1300,0.5,-0.013359237898839638,0.014745200052857399,0.0013859621540177613,0.0007427148520946503,0.00033998023718595505,1.1609226930886507e-06,0.0003021061420440674,0.09988976269960403,0.1001918688416481,0.035925351083278656,0.10033056885004044,0.3036853075027466,0.5964250564575195,0.09988976269960403,0.9848092794418335,0.30373114347457886,0.5963590145111084,0.09990991652011871,0.9882504940032959,0.5,0.6319277882575989,0.65965336561203,0.6457905769348145,0.9835099577903748,0.9848092794418335,0.9926332235336304,0.5428552031517029,0.03815039247274399,0.2905028164386749,0.0,0.0,0.0,0.4892668128013611,0.5107331871986389,alpha_override,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1
1325,0.5,-0.01700342126423493,0.020120983943343163,0.0031175626791082323,0.002854805439710617,2.2994354367256165e-06,8.35995888337493e-06,0.00025209784507751465,0.09963766485452652,0.09988976269960403,0.03621168062090874,0.10000620037317276,0.3035662770271301,0.5967961549758911,0.09963766485452652,0.9848872423171997,0.3036053776741028,0.5967331528663635,0.09966155141592026,0.988336980342865,0.5,0.6310595870018005,0.6395323872566223,0.6352959871292114,0.9837412238121033,0.9848872423171997,0.9926678538322449,0.5401902198791504,0.03529558703303337,0.28774288296699524,0.0,0.0,0.0,0.4966658353805542,0.5033341646194458,alpha_override,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1
1350,0.5,-0.008184441772755235,0.009098339825868607,0.0009138980531133711,0.0005459822714328766,0.00019064266234636307,3.421271685510874e-06,0.0001738518476486206,0.0994638130068779,0.09963766485452652,0.03552273288369179,0.09926271438598633,0.3036123812198639,0.5969238877296448,0.09946382790803909,0.9855518341064453,0.30365023016929626,0.5968594551086426,0.09949030727148056,0.9888425469398499,0.5,0.6294732689857483,0.6309671401977539,0.6302202343940735,0.98382568359375,0.9855518341064453,0.992662250995636,0.5375785231590271,0.03584156930446625,0.2867100238800049,0.0,0.0,0.0,0.4994073510169983,0.5005926489830017,alpha_override,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1
1375,0.5,-0.01703208702383563,0.019374322146177292,0.0023422351223416626,0.001226089894771576,0.00029556453227996826,6.385502638295293e-05,0.0007567256689071655,0.10022053867578506,0.0994638130068779,0.03778392821550369,0.10001520067453384,0.3040275573730469,0.595751941204071,0.10022053867578506,0.9859009981155396,0.30405932664871216,0.595695972442627,0.10024476796388626,0.9894263744354248,0.5,0.6310910582542419,0.6503282785415649,0.640709638595581,0.9836751222610474,0.9859009981155396,0.9924567341804504,0.5394299626350403,0.03461547940969467,0.2870227098464966,0.0,0.0,0.0,0.49249374866485596,0.507506251335144,alpha_override,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1
1400,0.5,-0.031801295292098075,0.03285260125994682,0.001051305967848748,0.00021547824144363403,1.663481816649437e-05,3.9503793232142925e-06,0.0008152425289154053,0.09940529614686966,0.10022053867578506,0.03606941178441048,0.09953468292951584,0.3037142753601074,0.5968804359436035,0.09940529614686966,0.9857403039932251,0.30374690890312195,0.5968177318572998,0.09943542629480362,0.9891325831413269,0.5,0.6306354403495789,0.6174882650375366,0.6240618824958801,0.9837372899055481,0.9857403039932251,0.9925981163978577,0.5383827090263367,0.03440000116825104,0.28639131784439087,0.0,0.0,0.0,0.5052667558193207,0.4947332441806793,alpha_override,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1
1425,0.5,-0.003867212508339435,0.005296582356095314,0.0014293698477558792,0.0005690641701221466,0.000445027370005846,2.3596803657710552e-06,0.0004129186272621155,0.09981821477413177,0.09940529614686966,0.03598569333553314,0.09953579306602478,0.3036734461784363,0.5965083837509155,0.09981821477413177,0.9861422777175903,0.3037028908729553,0.596448540687561,0.09984861314296722,0.9894782900810242,0.5,0.6307976245880127,0.6227831244468689,0.6267902851104736,0.9840329885482788,0.9861422777175903,0.9925941228866577,0.536663830280304,0.034969065338373184,0.2858164310455322,0.0,0.0,0.0,0.503196656703949,0.496803343296051,alpha_override,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1
1450,0.5,-0.016716663958504796,0.018343884497880936,0.0016272205393761396,0.0011308938264846802,2.779066562652588e-06,1.001986674964428e-05,0.0004835277795791626,0.10030174255371094,0.09981821477413177,0.036272529512643814,0.10061176866292953,0.3035985231399536,0.5960997343063354,0.10030175745487213,0.9847434163093567,0.303631067276001,0.5960357189178467,0.10033324360847473,0.9879910349845886,0.5,0.6308823823928833,0.6370921730995178,0.6339872479438782,0.9841535091400146,0.9847434163093567,0.9927192330360413,0.5355428457260132,0.036099959164857864,0.28582140803337097,0.0,0.0,0.0,0.4975513219833374,0.5024486780166626,alpha_override,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1
1475,0.5,-0.01033214118797332,0.013212531805038452,0.0028803906170651317,0.0025983117520809174,0.0002336832694709301,8.490285836160183e-06,3.9905309677124023e-05,0.10034164786338806,0.10030174255371094,0.037651583552360535,0.100110724568367,0.3039601743221283,0.5956982374191284,0.10034164786338806,0.9863457679748535,0.30398857593536377,0.5956372022628784,0.10037427395582199,0.989562451839447,0.5,0.6305920481681824,0.6346588730812073,0.6326254606246948,0.9840838313102722,0.9863457679748535,0.9926841259002686,0.5348469614982605,0.03350164741277695,0.28417426347732544,0.0,0.0,0.0,0.49839287996292114,0.5016071200370789,alpha_override,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1
1500,0.5,-0.016543452278710902,0.017469052225351334,0.0009255999466404319,0.0004569031298160553,4.5161694288253784e-05,1.051963772624731e-05,0.0004130154848098755,0.09992863237857819,0.10034164786338806,0.03743598982691765,0.09960103780031204,0.3036668300628662,0.5964045524597168,0.09992863237857819,0.9864053726196289,0.3036951422691345,0.5963385105133057,0.0999663844704628,0.9894879460334778,0.5,0.6291983723640442,0.6173205971717834,0.623259425163269,0.9842672348022461,0.9864053726196289,0.9928037524223328,0.532033383846283,0.033958550542593,0.28299596905708313,0.0,0.0,0.0,0.5047643780708313,0.4952356219291687,alpha_override,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1
1525,0.5,-0.04062053811503574,0.04381604120135307,0.0031955030863173306,0.0028424374759197235,1.4993827790021896e-05,9.516079444438219e-06,0.00032855570316314697,0.09960007667541504,0.09992863237857819,0.03798340633511543,0.09980710595846176,0.30346041917800903,0.5969395637512207,0.09960007667541504,0.9859641790390015,0.3034931421279907,0.5968645811080933,0.09964229166507721,0.9890432953834534,0.5,0.628617525100708,0.6611366271972656,0.644877016544342,0.9843222498893738,0.9859641790390015,0.9927425384521484,0.5307063460350037,0.036800988018512726,0.2837536633014679,0.0,0.0,0.0,0.487393319606781,0.512606680393219,alpha_override,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1
1550,0.5,-0.026061586278956383,0.030605414882302284,0.004543828603345901,0.003427475690841675,0.00013496354222297668,8.060422260314226e-06,0.0009733289480209351,0.10057340562343597,0.09960007667541504,0.037609390914440155,0.10030987858772278,0.3040405511856079,0.5953860878944397,0.10057340562343597,0.986572802066803,0.30406805872917175,0.595319390296936,0.10061255097389221,0.9896406531333923,0.5,0.6296253800392151,0.6305311322212219,0.6300782561302185,0.9842657446861267,0.986572802066803,0.9928041100502014,0.5316084027290344,0.03337351232767105,0.28249096870422363,0.0,0.0,0.0,0.49964064359664917,0.5003593564033508,alpha_override,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1
1575,0.5,-0.012157034478150308,0.013328706845641136,0.001171672367490828,3.2510608434677124e-05,0.0002392963506281376,2.0808656699955463e-05,0.0008790567517280579,0.09969434887170792,0.10057340562343597,0.038375917822122574,0.09979380667209625,0.3036194145679474,0.5966862440109253,0.09969434887170792,0.9867835640907288,0.30365100502967834,0.5966087579727173,0.09974025934934616,0.9897140264511108,0.5,0.6287561058998108,0.6172371506690979,0.6229966282844543,0.984510600566864,0.9867835640907288,0.9928703308105469,0.5290696024894714,0.03340602293610573,0.28123781085014343,0.0,0.0,0.0,0.5046223998069763,0.4953776001930237,alpha_override,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1
1600,0.5,-0.03589667632331839,0.037354372441768646,0.001457696118450258,0.0011620409786701202,3.971811383962631e-05,5.8623299992177635e-05,0.00019731372594833374,0.09989166259765625,0.09969434887170792,0.04070347547531128,0.0995909795165062,0.30344700813293457,0.596661388874054,0.09989166259765625,0.9835678339004517,0.30348432064056396,0.5965762734413147,0.09993945807218552,0.986571192741394,0.5,0.6305102109909058,0.6532430648803711,0.6418766975402832,0.984326183795929,0.9835678339004517,0.992594301700592,0.5310704112052917,0.03456806391477585,0.2828192412853241,0.0,0.0,0.0,0.4911459684371948,0.5088540315628052,alpha_override,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1
