epoch,prev_epoch,epsilon_all,dM_all,dC_all,d_cf_all,d_mono_all,d_att_all,d_self_all,n_0,epsilon_0,dM_0,dC_0,d_cf_0,d_mono_0,d_att_0,d_self_0,n_1,epsilon_1,dM_1,dC_1,d_cf_1,d_mono_1,d_att_1,d_self_1
200,0,0.12179493205621839,0.380163483787328,0.2583685517311096,0.24660631269216537,8.388934656977654e-05,0.0209957892075181,0.11247749254107475,285,0.0981057551689446,0.4505003956146538,0.35239464044570923,0.2533479109406471,0.00012233154848217964,0.08828940987586975,0.10874074324965477,227,0.27114344481378794,0.411461659707129,0.14031821489334106,0.2381422519683838,8.339900523424149e-05,0.05606696754693985,0.11716904118657112
400,200,-0.011562276165932417,0.053816203493624926,0.06537847965955734,0.04153548181056976,4.599336534738541e-06,0.012099450454115868,0.00017667189240455627,282,0.006019740831106901,0.0691472957842052,0.0631275549530983,0.04511691629886627,0.00011839205399155617,0.023340129293501377,0.000571858137845993,230,-0.016999877989292145,0.05113842338323593,0.06813830137252808,0.03714432567358017,0.00014768168330192566,0.012751985341310501,0.001094430685043335
600,400,-0.03135458240285516,0.01053569233044982,0.04189027473330498,0.005058571696281433,0.0007286998443305492,0.00465734489262104,9.107589721679688e-05,282,-0.01548830745741725,0.016512409318238497,0.032000716775655746,0.005916126072406769,0.0001304210163652897,0.009555881842970848,0.0009099803864955902,230,-0.04616624070331454,0.00784947769716382,0.05401571840047836,0.0040071457624435425,0.00044462503865361214,0.002079244703054428,0.0013184621930122375
800,600,-0.01523251598700881,0.016474238131195307,0.03170675411820412,0.01376882940530777,0.0003921864554286003,0.0022296919487416744,8.353032171726227e-05,287,-0.012909543234854937,0.02440079627558589,0.037310339510440826,0.015269748866558075,0.0016003879718482494,0.006701851263642311,0.0008288081735372543,225,-0.009923773177433759,0.014635290659498423,0.024559063836932182,0.01185430958867073,0.0001467326655983925,0.0013869765098206699,0.0012472718954086304
1000,800,-0.01259167946409434,0.005137617816217244,0.017729297280311584,0.0026840195059776306,0.0005635577253997326,0.0015419662231579423,0.00034807436168193817,285,-0.004657825455069542,0.008115014061331749,0.012772839516401291,0.00248032808303833,0.00018825475126504898,0.004475063644349575,0.0009713675826787949,227,-0.0169294779188931,0.00702268211171031,0.02395216003060341,0.0029397644102573395,0.00272133806720376,0.0009270990267395973,0.00043448060750961304
1200,1000,-0.0147087627556175,0.00957596697844565,0.02428472973406315,0.006886295974254608,0.0018899734131991863,0.0005330487620085478,0.0002666488289833069,284,-0.02149077318608761,0.0133648831397295,0.03485565632581711,0.007466714829206467,0.0036617908626794815,0.002011176198720932,0.00022520124912261963,228,-0.0005811559967696667,0.010536290239542723,0.01111744623631239,0.006163306534290314,0.0028473613783717155,0.0006463197059929371,0.0008793026208877563
1400,1200,-0.010778618976473808,0.006575178354978561,0.01735379733145237,0.005476746708154678,0.0006801141425967216,0.00023599807173013687,0.00018231943249702454,284,-0.00478710001334548,0.00825178762897849,0.01303888764232397,0.0058593302965164185,0.0013374388217926025,0.0007226797752082348,0.00033233873546123505,228,-0.01726494333706796,0.005463574314489961,0.022728517651557922,0.005000200122594833,8.733104914426804e-05,0.00037149456329643726,4.548579454421997e-06
1600,1400,-0.02720127592328936,0.0018057584529742599,0.02900703437626362,0.0013228319585323334,7.085874676704407e-05,0.0003526549553498626,5.9412792325019836e-05,287,-0.031492034904658794,0.0024535739794373512,0.033945608884096146,0.001445237547159195,0.00013850629329681396,0.0007986566051840782,7.11735337972641e-05,225,-0.0195179870352149,0.0031896261498332024,0.022707613185048103,0.0011666864156723022,0.0006651552394032478,0.0011318027973175049,0.0002259816974401474
1800,1600,-0.03227441280614585,0.008044344489462674,0.04031875729560852,0.006725773215293884,0.000814458355307579,0.00031435408163815737,0.00018975883722305298,286,-0.04408983280882239,0.008165171835571527,0.05225500464439392,0.007042795419692993,0.00024262210354208946,0.0008477559313178062,3.199838101863861e-05,226,-0.017291299998760223,0.007922327145934105,0.02521362714469433,0.0063245780766010284,0.000250308308750391,0.0009580417536199093,0.0003893990069627762
2000,1800,-0.008149229804985225,0.002570703742094338,0.010719933547079563,0.0023178011178970337,0.00013372115790843964,0.00010503095109015703,1.415051519870758e-05,286,-0.009796828031539917,0.0031270356848835945,0.012923863716423512,0.0023787952959537506,0.00018601864576339722,0.000438557006418705,0.0001236647367477417,226,-0.005006968509405851,0.00292391749098897,0.007930886000394821,0.002240613102912903,0.00010837940499186516,0.0004505021497607231,0.0001244228333234787
