sample,dwell_max_steps,dwell_mean_steps
0,9,3.6666666666666665
1,9,3.6666666666666665
2,8,3.6666666666666665
3,11,11.0
4,11,11.0
5,8,3.6666666666666665
6,8,3.6666666666666665
7,8,3.6666666666666665
8,8,3.6666666666666665
9,9,3.6666666666666665
10,8,3.6666666666666665
11,8,3.6666666666666665
12,11,11.0
13,8,3.6666666666666665
14,11,11.0
15,8,3.6666666666666665
16,8,3.6666666666666665
17,8,3.6666666666666665
18,8,3.6666666666666665
19,11,11.0
20,8,3.6666666666666665
21,11,11.0
22,8,3.6666666666666665
23,11,11.0
24,11,11.0
25,9,3.6666666666666665
26,11,11.0
27,8,3.6666666666666665
28,8,3.6666666666666665
29,11,11.0
30,8,3.6666666666666665
31,11,11.0
32,8,3.6666666666666665
33,8,3.6666666666666665
34,11,11.0
35,9,3.6666666666666665
36,7,2.75
37,8,3.6666666666666665
38,8,3.6666666666666665
39,8,3.6666666666666665
40,11,11.0
41,11,11.0
42,8,3.6666666666666665
43,8,3.6666666666666665
44,8,3.6666666666666665
45,11,11.0
46,8,3.6666666666666665
47,8,3.6666666666666665
48,11,11.0
49,11,11.0
50,9,3.6666666666666665
51,11,11.0
52,11,11.0
53,8,3.6666666666666665
54,8,3.6666666666666665
55,9,3.6666666666666665
56,8,3.6666666666666665
57,9,3.6666666666666665
58,8,3.6666666666666665
59,8,3.6666666666666665
60,9,3.6666666666666665
61,11,11.0
62,11,11.0
63,8,3.6666666666666665
64,9,3.6666666666666665
65,8,3.6666666666666665
66,8,3.6666666666666665
67,9,3.6666666666666665
68,11,11.0
69,8,3.6666666666666665
70,11,11.0
71,9,3.6666666666666665
72,11,11.0
73,8,3.6666666666666665
74,8,3.6666666666666665
75,11,11.0
76,11,11.0
77,8,3.6666666666666665
78,9,3.6666666666666665
79,8,3.6666666666666665
80,11,11.0
81,11,11.0
82,8,3.6666666666666665
83,6,2.75
84,8,3.6666666666666665
85,8,3.6666666666666665
86,11,11.0
87,8,3.6666666666666665
88,8,3.6666666666666665
89,8,3.6666666666666665
90,8,3.6666666666666665
91,9,3.6666666666666665
92,11,11.0
93,8,3.6666666666666665
94,8,3.6666666666666665
95,9,3.6666666666666665
96,9,3.6666666666666665
97,11,11.0
98,8,3.6666666666666665
99,11,11.0
100,11,11.0
101,11,11.0
102,8,3.6666666666666665
103,11,11.0
104,8,3.6666666666666665
105,11,11.0
106,8,3.6666666666666665
107,6,2.2
108,11,11.0
109,8,3.6666666666666665
110,11,11.0
111,11,11.0
112,8,3.6666666666666665
113,11,11.0
114,8,3.6666666666666665
115,11,11.0
116,11,11.0
117,8,3.6666666666666665
118,11,11.0
119,8,3.6666666666666665
120,8,3.6666666666666665
121,8,3.6666666666666665
122,11,11.0
123,11,11.0
124,8,3.6666666666666665
125,11,11.0
126,8,3.6666666666666665
127,8,3.6666666666666665
128,8,3.6666666666666665
129,8,3.6666666666666665
130,7,2.75
131,9,3.6666666666666665
132,9,3.6666666666666665
133,9,3.6666666666666665
134,8,3.6666666666666665
135,9,3.6666666666666665
136,11,11.0
137,11,11.0
138,11,11.0
139,11,11.0
140,9,3.6666666666666665
141,11,11.0
142,8,3.6666666666666665
143,11,11.0
144,8,3.6666666666666665
145,8,3.6666666666666665
146,11,11.0
147,11,11.0
148,11,11.0
149,8,3.6666666666666665
150,8,3.6666666666666665
151,9,3.6666666666666665
152,11,11.0
153,11,11.0
154,11,11.0
155,9,3.6666666666666665
156,9,3.6666666666666665
157,8,3.6666666666666665
158,8,3.6666666666666665
159,11,11.0
160,11,11.0
161,11,11.0
162,9,3.6666666666666665
163,8,3.6666666666666665
164,11,11.0
165,11,11.0
166,11,11.0
167,9,3.6666666666666665
168,8,3.6666666666666665
169,8,3.6666666666666665
170,11,11.0
171,11,11.0
172,9,3.6666666666666665
173,8,3.6666666666666665
174,11,11.0
175,8,3.6666666666666665
176,8,3.6666666666666665
177,8,3.6666666666666665
178,11,11.0
179,11,11.0
180,8,3.6666666666666665
181,8,3.6666666666666665
182,9,3.6666666666666665
183,8,3.6666666666666665
184,9,3.6666666666666665
185,8,3.6666666666666665
186,11,11.0
187,11,11.0
188,8,3.6666666666666665
189,8,3.6666666666666665
190,11,11.0
191,8,3.6666666666666665
192,11,11.0
193,9,3.6666666666666665
194,8,3.6666666666666665
195,8,3.6666666666666665
196,8,3.6666666666666665
197,8,3.6666666666666665
198,11,11.0
199,8,3.6666666666666665
200,11,11.0
201,9,3.6666666666666665
202,9,3.6666666666666665
203,11,11.0
204,8,3.6666666666666665
205,11,11.0
206,9,3.6666666666666665
207,8,3.6666666666666665
208,8,3.6666666666666665
209,8,3.6666666666666665
210,11,11.0
211,11,11.0
212,8,3.6666666666666665
213,8,3.6666666666666665
214,9,3.6666666666666665
215,8,3.6666666666666665
216,8,3.6666666666666665
217,11,11.0
218,9,3.6666666666666665
219,8,3.6666666666666665
220,11,11.0
221,11,11.0
222,11,11.0
223,11,11.0
224,8,3.6666666666666665
225,11,11.0
226,9,3.6666666666666665
227,11,11.0
228,11,11.0
229,8,3.6666666666666665
230,8,3.6666666666666665
231,8,3.6666666666666665
232,8,3.6666666666666665
233,8,3.6666666666666665
234,9,3.6666666666666665
235,11,11.0
236,8,3.6666666666666665
237,8,3.6666666666666665
238,11,11.0
239,8,3.6666666666666665
240,8,3.6666666666666665
241,8,3.6666666666666665
242,11,11.0
243,8,3.6666666666666665
244,11,11.0
245,8,3.6666666666666665
246,11,11.0
247,8,3.6666666666666665
248,11,11.0
249,11,11.0
250,8,3.6666666666666665
251,9,3.6666666666666665
252,11,11.0
253,9,3.6666666666666665
254,11,11.0
255,11,11.0
256,8,3.6666666666666665
257,11,11.0
258,11,11.0
259,7,2.75
260,8,3.6666666666666665
261,8,3.6666666666666665
262,9,3.6666666666666665
263,8,3.6666666666666665
264,9,3.6666666666666665
265,8,3.6666666666666665
266,11,11.0
267,11,11.0
268,11,11.0
269,11,11.0
270,8,3.6666666666666665
271,11,11.0
272,11,11.0
273,5,2.2
274,11,11.0
275,8,3.6666666666666665
276,8,3.6666666666666665
