feature,corr_with_threshold,corr_with_mid_err,n_unique
attn_mass_6_i0,0.9954510569975602,0.9954510576929271,11
attn_mean_6_i0,0.9954510569975602,0.9954510576929271,11
y_mix_std_i1,-0.9940383805205606,-0.9940383807655975,11
corr_y_mix_true_i1,-0.9939166653441389,-0.9939166662845701,11
corr_y_mix_true_i0,-0.9910355691713959,-0.9910355703810286,11
delta_sun_mean_diff_i0_minus_i1,-0.9893076254799955,-0.9893076225011193,11
attn_mass_3_5_i1,-0.986193475275995,-0.9861934751802451,11
y_sem_mean_i1,-0.9847937987069474,-0.9847937959465686,11
y_mix_std_i0,-0.9840529402737817,-0.9840529405386735,11
n_ratio_i0,0.9840141029669739,0.9840141032228655,6
n_i0,0.9840141029669739,0.9840141032228655,6
n_ratio_i1,-0.9840141029669733,-0.9840141032228653,6
n_i1,-0.9840141029669733,-0.9840141032228653,6
y_mix_mean_i1,-0.9832015458159284,-0.9832015465777703,11
delta_plant_mean_i1,-0.9832015458159284,-0.9832015465777703,11
attn_mean_6_i1,0.9831624345144362,0.9831624362606407,11
attn_mass_6_i1,0.9831624345144362,0.9831624362606407,11
delta_plant_mean_diff_i0_minus_i1,0.9720791756747814,0.9720791784162613,11
y_mix_mean_diff_i0_minus_i1,0.9720791756747814,0.9720791784162613,11
delta_ratio_sun_over_plant_i0,-0.9712167172386882,-0.9712167137376594,11
delta_sun_mean_i0,-0.9638354566684982,-0.9638354519978366,11
y_sem_mean_i0,-0.9420012479192925,-0.9420012410911711,11
attn_mean_5_i1,-0.9262479624965761,-0.926247966376261,11
attn_mean_0_i1,0.9212359773802872,0.921235976986185,11
delta_sun_mean_i1,-0.9195721554356597,-0.9195721496568533,11
delta_ratio_sun_over_plant_i1,-0.9158892202568716,-0.9158892151116204,11
attn_mean_4_i0,-0.9057789683543809,-0.9057789642503925,11
y_stat_mean_i1,-0.8953614187764608,-0.8953614226319281,11
attn_mean_2_i1,0.8926105143014661,0.8926105124759464,11
attn_mass_0_2_i1,0.8921987741994322,0.8921987719871983,11
attn_mean_1_i1,0.8629251855206654,0.8629251820054658,11
attn_mean_3_i1,-0.8545530270426038,-0.8545530301751885,11
y_stat_mean_i0,0.8336886994675785,0.8336887044466698,11
y_mix_mean_i0,-0.7124914922921584,-0.7124914744737343,11
delta_plant_mean_i0,-0.7124914922921584,-0.7124914744737343,11
attn_mass_3_5_i0,-0.7106986820326582,-0.7106986744218817,11
attn_mean_4_i1,-0.6642893589968635,-0.6642893535022657,11
attn_mean_2_i0,0.4478199487897612,0.4478199392139653,11
attn_mass_0_2_i0,0.41369689098631496,0.4136968811745594,11
attn_mean_0_i0,0.3960899601902166,0.39608995025825194,11
attn_mean_1_i0,0.3940978244652369,0.39409781453368686,11
attn_mean_5_i0,-0.10967528654736823,-0.10967527636089282,11
attn_mass_0_2_diff_i0_minus_i1,0.054225541710609795,0.054225530371486856,11
attn_mass_3_5_diff_i0_minus_i1,-0.05075203821180199,-0.050752026906843745,11
attn_mean_3_i0,0.025841512408631983,0.025841520605370927,11
attn_mass_6_diff_i0_minus_i1,-0.006572491974911136,-0.006572502469326182,11
