feature,importance_mean,importance_std
attn_mass_3_5,0.003915445517914224,0.0010063112650697003
y_stat_mean,0.0028539083216896966,0.000624803423345929
plant_mean,0.0025394826686812987,0.0006370103303762792
sun_minus_water_mean,0.0015283387401439621,0.0003649263008152968
plant_std,0.001338046937210551,0.0003253870473021332
sun_std,0.001007443436656102,0.00022357673037018538
water_mean,0.0009501489479040928,0.000232988197548078
delta_sun_mean,0.0009202969096055164,0.0003092355949053236
attn_mass_6,0.0007551730002172209,0.000260683193816645
sun_mean,0.0007028987458878138,0.00019364946232196335
y_sem_mean,0.0006200647431865461,0.0001666094928808151
y_mix_std,0.0005178702563157563,0.00016840168324037223
sun_plus_water_mean,0.00045727015354106573,0.00014457637668507676
y_mix_mean,0.0003299147190507974,8.005847068682468e-05
delta_ratio_sun_over_plant,0.00032618472636546103,0.00014549294365361358
attn_mass_0_2,0.0002697247340655995,0.00017284724943305947
delta_plant_mean,0.00022420056969937605,5.236020992424417e-05
water_std,9.203562114059391e-05,6.012075829346301e-05
plant_is_zero,5.237426743300635e-05,3.2019302539868184e-05
