feature,importance_mean,importance_std
attn_mass_3_5,0.0034541880691252567,0.0009084934246621914
y_stat_mean,0.0033051356057127467,0.0007475062447900259
plant_mean,0.0030753497913794813,0.0007399045715253235
plant_std,0.0014241778571308858,0.00035208077325676364
sun_minus_water_mean,0.0013545371000773195,0.000329552953149834
sun_std,0.000976935306738333,0.0002148051662161112
water_mean,0.000951827136523564,0.0002303575671489079
delta_sun_mean,0.0007217817943137911,0.0002114334320758835
attn_mass_6,0.0006670175435963965,0.00021946367155251887
y_sem_mean,0.0005997293627143046,0.00015390535598783518
sun_mean,0.0005982124781705844,0.00016520908037017323
sun_plus_water_mean,0.0005285537955595373,0.00015229940400692768
y_mix_std,0.0004334398680575032,0.00016805192956899194
delta_ratio_sun_over_plant,0.00033648240935796943,0.0001691215536194525
island_cat,0.0002423571475356269,8.330790275186416e-05
attn_mass_0_2,0.00023753806033343977,0.00013584336668611422
delta_plant_mean,0.00020935260947632994,4.9403478234954704e-05
y_mix_mean,0.00017853526456502975,4.022181371672337e-05
water_std,4.2777712536815514e-05,5.3059797456297606e-05
plant_is_zero,3.139441498108736e-05,2.1460900632427412e-05
