feature,importance_mean,importance_std
y_stat_mean,0.007447394098563661,0.0015349323235081531
plant_std,0.006192085973100211,0.0014398445488986108
attn_mass_3_5,0.004545242472659538,0.001227073502600777
water_mean,0.004059268916856143,0.0009021291087722911
sun_std,0.003433096522732183,0.000811611220326794
sun_mean,0.0032606546814766707,0.0008054785342550188
sun_minus_water_mean,0.003221878898382182,0.0007874810483585464
plant_mean,0.002720656960910095,0.0007339207468269852
sun_plus_water_mean,0.0025751347765922226,0.0006505349968722439
y_sem_mean,0.0011972532756003823,0.00043161061950496027
attn_mass_6,0.0009343509560281961,0.00027760266804349395
y_mix_mean,0.0006571970852072098,0.00017893094783924237
delta_sun_mean,0.0005310311992602576,0.0002683317503017094
y_mix_std,0.0005218290342851363,0.0001983351619282882
delta_plant_mean,0.00042594970197029234,0.00010805035220360868
delta_ratio_sun_over_plant,0.00033137161520400987,0.00018059534674123463
water_std,0.00032830339058967416,0.00010731954788614588
attn_mass_0_2,0.0003191611151153813,0.00027006786774171174
plant_is_zero,8.527340392633062e-05,5.416931759934034e-05
