feature,importance_mean,importance_std
y_stat_mean,0.018712519363645107,0.0033012826506288576
plant_mean,0.013883034438742671,0.0020619533281150586
water_mean,0.010086699405754195,0.002041947760100279
sun_minus_water_mean,0.009364221286844762,0.002175277059083129
sun_mean,0.009279280408614471,0.0021463234610251598
sun_plus_water_mean,0.009174700542139837,0.0021145154395603443
y_mix_std,0.006523162405785134,0.0016500118156775163
delta_sun_mean,0.005724024280888826,0.0014487208735437412
plant_is_zero,0.005389366867100633,0.0011380513311455725
plant_std,0.0047961439177003325,0.0013382092620461941
attn_mass_6,0.0043048802629879835,0.0012086873331651436
delta_ratio_sun_over_plant,0.004198345802240088,0.0012089824222829304
delta_plant_mean,0.003814042379009169,0.001017091914769933
y_mix_mean,0.003814042379009101,0.0010170919147699225
sun_std,0.0026269537603404347,0.0008250719915981756
y_sem_mean,0.0018214477239059527,0.000826592303317408
attn_mass_3_5,0.0007663033327438142,0.00046942168928403716
attn_mass_0_2,0.0003303434043421385,0.0003871873879672257
water_std,-3.8123789567390613e-06,0.0002398010249334378
