feature,importance_mean,importance_std
y_stat_mean,0.008191832806045398,0.0016947554553590433
plant_std,0.00526087730063091,0.001239282353212589
water_mean,0.004863886716842651,0.001045823558763683
attn_mass_3_5,0.0043385024315228,0.0011707185284591465
sun_std,0.00379181512227922,0.0008983527458899952
sun_minus_water_mean,0.0029909400097131505,0.0007231893273555246
plant_mean,0.0028609215771502566,0.000751972435009004
sun_mean,0.0024480372023690643,0.000599050468528933
sun_plus_water_mean,0.0023616234816854313,0.0006381760231160403
island_cat,0.001229861204678312,0.0004486419399073469
y_sem_mean,0.0011665145497430714,0.00042558816773384636
attn_mass_6,0.0009313121563738316,0.0002902419722379244
delta_sun_mean,0.0004992472048998479,0.0002467493723217811
delta_plant_mean,0.0004943464595946433,0.0001304262165323909
delta_ratio_sun_over_plant,0.0004365848785206039,0.00023131509527847947
y_mix_std,0.00040198094461184477,0.00016472761753264105
y_mix_mean,0.0003944164043014756,8.654848899962137e-05
attn_mass_0_2,0.00028965264709433916,0.00016180424554887232
water_std,0.00022262500386889214,8.915567616725371e-05
plant_is_zero,0.00011292720813101214,6.254895773159513e-05
