feature,importance_mean,importance_std
y_stat_mean,0.018880436836519774,0.0033305831726131918
plant_mean,0.01401725368594674,0.002077630222885061
water_mean,0.010092271440226397,0.0020381886751080227
sun_minus_water_mean,0.008939312576352457,0.002095569501174006
sun_mean,0.008835369926470849,0.0020642795132082576
sun_plus_water_mean,0.008710475202413387,0.002030028743986765
y_mix_std,0.006533768732849591,0.0016531355659216967
delta_sun_mean,0.0055879024066346275,0.0014276415732665355
plant_is_zero,0.00539253662618107,0.001138510428354962
plant_std,0.0048748446112954705,0.001356049072334953
attn_mass_6,0.004353456608142643,0.0012216887079281793
delta_ratio_sun_over_plant,0.004190268264401962,0.001206377089248883
delta_plant_mean,0.004014617707128816,0.0010460883437679344
y_mix_mean,0.004014617707128753,0.0010460883437679242
sun_std,0.002793738059613346,0.0008557102938909632
y_sem_mean,0.0016473059076491919,0.0007800982878327605
attn_mass_3_5,0.0008119272239334748,0.00048063099452960874
island_cat,0.000614309119174214,0.0004739948499100461
attn_mass_0_2,0.000321916700781942,0.0003810981307968486
water_std,-1.0990696595630875e-05,0.00023593868447055783
