feature,importance_mean,importance_std
attn_mass_3_5,0.0052013731758176855,0.0013545248328014914
y_stat_mean,0.002441529995125188,0.0005637973116008435
plant_mean,0.0018192054199162437,0.0004595391575251609
y_mix_std,0.0017751919920650696,0.0004560549938287453
water_std,0.0009287767587400314,0.0003701643826895652
delta_sun_mean,0.0008385511919583038,0.00038573172365539906
y_sem_mean,0.0005616324791793292,0.00015146077322983776
attn_mass_6,0.0005473861295889369,0.000245757738480783
delta_ratio_sun_over_plant,0.00046088510832310235,0.00024911777885035084
sun_std,0.0004581057198561999,0.00023390906523872355
plant_std,0.0004016814848175336,0.00025975196463028853
water_mean,0.0003582670712659033,0.00016210503898137087
attn_mass_0_2,0.0003448987723779911,0.00022404928058383688
sun_minus_water_mean,0.0003153746841075178,0.00016577942508102267
y_mix_mean,0.0002642976308604278,8.388556123472249e-05
delta_plant_mean,0.0002225706627897451,6.748812421984538e-05
sun_mean,9.177043911028714e-05,6.787127719984323e-05
sun_plus_water_mean,8.672824579908856e-05,4.46042132262503e-05
plant_is_zero,-1.3308253103543403e-06,1.0574523261240978e-06
