feature,importance_mean,importance_std
plant_mean,0.012232557535814356,0.002010590723617802
y_mix_std,0.009978805911091541,0.0024785621407590656
y_stat_mean,0.005667298805686684,0.001320564344981722
sun_std,0.005323875830069409,0.0015232915721712767
attn_mass_6,0.005201697812686978,0.0015365279813816116
plant_std,0.0048643755946220744,0.0014753601285539147
plant_is_zero,0.004755172522242976,0.0010361244737102564
delta_sun_mean,0.0026958819310754336,0.0010043531009329728
y_sem_mean,0.001896962557657927,0.0008440319536752015
attn_mass_3_5,0.0014493016309440894,0.0008024264213256472
sun_plus_water_mean,0.0012719624271086752,0.0007191908062036112
sun_mean,0.0012368058159641917,0.0007084768715639062
sun_minus_water_mean,0.0012033488092597063,0.0006981541800451678
water_mean,0.0005544225777133132,0.00033669740116067375
delta_ratio_sun_over_plant,0.0004288060865117135,0.0004369099207816396
y_mix_mean,0.00039263152719293135,0.0004279605257010582
delta_plant_mean,0.00039263152719287936,0.0004279605257010423
water_std,0.0002449861781466966,0.0004196727152893963
attn_mass_0_2,0.00012637316313653455,0.00017313121344585795
