feature,importance_mean,importance_std
attn_mass_3_5,0.0047866494487988475,0.001270161546079656
plant_mean,0.00267198824827793,0.0006544816237127113
y_stat_mean,0.002595794440719815,0.0005951080864825866
y_mix_std,0.0018585367270057185,0.00045794789921270733
water_std,0.0008914750894213787,0.0003562414647344684
y_sem_mean,0.0005767942718359222,0.00014843824212706417
delta_ratio_sun_over_plant,0.0005579773048543513,0.00025702717969004925
plant_std,0.0005396165155514532,0.0002966037721302131
water_mean,0.00046764450762592455,0.00021308925427019381
attn_mass_0_2,0.0004519593999650576,0.0002749165188191633
attn_mass_6,0.00041353386862677885,0.0001667057011391344
delta_sun_mean,0.00030229820106265925,0.00019795712113505453
sun_minus_water_mean,0.0002827541919176548,0.00015251675862831037
sun_std,0.0002576042104404994,0.00015739127027454647
delta_plant_mean,0.00025132732793241535,7.532028356759051e-05
y_mix_mean,0.00024284089798948263,7.188749664168611e-05
sun_mean,9.627708303873099e-05,6.931158999308062e-05
sun_plus_water_mean,8.19121207727846e-05,4.784927228762246e-05
island_cat,5.381133611680154e-06,4.747349815473551e-06
plant_is_zero,1.2970096808618063e-06,6.880200085426113e-07
