feature,importance_mean,importance_std
plant_mean,0.012082887873057686,0.0019864123324156583
y_mix_std,0.00997093810811658,0.002473065471035955
y_stat_mean,0.005479307099999871,0.0012831225877911751
attn_mass_6,0.005137068878132229,0.0015174669361719304
sun_std,0.00506974312156537,0.0014757542139851357
plant_std,0.004766313834370383,0.0014490219100773232
plant_is_zero,0.004753007694944977,0.0010351053113082246
delta_sun_mean,0.002909692514724162,0.0010342216361024874
y_sem_mean,0.0021881470084875922,0.0009076343649104274
sun_plus_water_mean,0.0017229798307821383,0.0008525409771250751
sun_mean,0.0016701873239083826,0.0008357648449558419
sun_minus_water_mean,0.0016211528331151887,0.0008194378901878399
attn_mass_3_5,0.0013999787286265914,0.0007869002959923758
island_cat,0.001206199758376653,0.0006759106184438427
water_mean,0.0005615104455546138,0.0003382814109859796
delta_ratio_sun_over_plant,0.000422380963940205,0.0004317764844471607
y_mix_mean,0.00025378426700752417,0.00038013360298222367
delta_plant_mean,0.0002537842670074837,0.00038013360298220865
water_std,0.0002441560314111938,0.0004147768530813124
attn_mass_0_2,0.0001371992839637046,0.00018421775493227406
