feature,perm_importance_mean,perm_importance_std
delta_plant_std_island1,0.036894081236324885,0.014481967006312216
delta_plant_mean_island1,0.03618388567519577,0.014200693656848645
delta_sun_std_island0,0.03338022836571014,0.016243640603281793
delta_y_mix_mean_island1,0.0243417117100563,0.010134495908212889
delta_corr_y_mix_true_island0,0.024160595897438845,0.013978409895984862
delta_d_self_0,0.02257544875520667,0.011066759363051966
delta_err_abs_mean_island0,0.022413357942873417,0.015025434555951248
delta_delta_plant_mean_island1,0.020402199942713858,0.00818444266857019
delta_attn_mass_0_2_island1,0.019822221699080683,0.009894179576136593
delta_delta_plant_mean_diff_0_minus_1,0.0161353675892983,0.008579962668319086
delta_delta_ratio_sun_over_plant_island0,0.01074001745694028,0.0053133108148631925
delta_delta_sun_mean_island1,0.009797512690963468,0.004343275107911363
delta_epsilon_0,0.009787518998834399,0.004968911654510618
delta_err_abs_mean_diff_0_minus_1,0.009405979349540627,0.006141976820182506
delta_attn_mass_3_5_island1,0.009397794779451936,0.005018885906855798
delta_delta_sun_mean_diff_0_minus_1,0.00878290881843171,0.005226593687928922
delta_err_signed_mean_island0,0.007947614807563015,0.004077645214336425
delta_attn_mass_6_island1,0.007551639256796021,0.005682881792737693
delta_y_stat_mean_diff_0_minus_1,0.007495595263807879,0.0048226739663464755
delta_y_mix_mean_diff_0_minus_1,0.007468646127337419,0.004006210510826798
delta_y_mix_std_island0,0.006510784329462886,0.003675030629607097
delta_epsilon_all,0.005764153135627253,0.0045089938282199095
delta_attn_mass_6_diff_0_minus_1,0.005749822523057191,0.004153843175783783
delta_attn_mass_0_2_diff_0_minus_1,0.005329714757737145,0.003889825765268467
delta_d_self_all,0.0052681969662177995,0.00276499449652414
delta_d_att_all,0.005002566347126043,0.003704038912755376
delta_delta_sun_mean_island0,0.0041109543949938735,0.003747729434850171
delta_water_std_island1,0.003455552153485737,0.0022430297630114467
delta_y_stat_mean_island0,0.0033728363355445354,0.0024692172766568646
delta_d_self_1,0.0033532820631111205,0.0021043097147484353
delta_y_mix_std_diff_0_minus_1,0.003170839212358929,0.0013287735904491103
delta_corr_y_mix_true_diff_0_minus_1,0.003121393569450899,0.0022932691579066115
delta_water_std_diff_0_minus_1,0.003031750112419169,0.002044813158602578
delta_sun_std_diff_0_minus_1,0.0028235780973862477,0.002191315554893575
delta_y_stat_mean_island1,0.002765241608933322,0.0016610536557969129
delta_attn_mass_3_5_island0,0.002664161263547393,0.001974389246562685
delta_corr_y_mix_true_island1,0.0025461554407466068,0.0017837681245214461
delta_sun_mean_island0,0.0025318317813734946,0.001950314230471295
delta_delta_plant_mean_island0,0.002474580359774685,0.0031199361777668
delta_sun_mean_island1,0.002252221734313138,0.0018920696430417812
delta_epsilon_1,0.002094899791474716,0.0016360643341306125
delta_y_mix_std_island1,0.0020777186329711504,0.0008506990336351702
delta_d_att_0,0.001958170204776939,0.00227011563509347
delta_attn_mass_0_2_island0,0.0018787805481750763,0.0016837545444608126
delta_y_sem_mean_island0,0.0018640146326461915,0.0010726088707909724
delta_delta_ratio_sun_over_plant_island1,0.00163790921053925,0.0009480375060178306
delta_attn_mass_6_island0,0.0014601313527578786,0.0013249898266771924
delta_y_sem_mean_diff_0_minus_1,0.0014548709894234091,0.0010360461935187335
delta_water_std_island0,0.0014312579968708229,0.0009295937939638285
delta_d_cf_all,0.0014246355293957857,0.0007472098421692806
delta_y_sem_mean_island1,0.0012933216949549875,0.0011525231208768013
delta_d_att_1,0.0010432064576267287,0.001618529146409045
delta_y_mix_mean_island0,0.0010291525858427564,0.001021866167755832
delta_err_signed_mean_island1,0.000991323542362861,0.001442069756519296
delta_delta_ratio_sun_over_plant_diff_0_minus_1,0.0009805444678846387,0.0007489378284672728
delta_err_signed_mean_diff_0_minus_1,0.0009263028330001344,0.0007882163230740469
delta_err_abs_mean_island1,0.0009102661542986712,0.0008972932666298085
delta_plant_std_diff_0_minus_1,0.0008082064462357641,0.0006738804402459352
delta_err_abs_p90_island0,0.0007213337531552577,0.0041609408233811
delta_err_abs_p90_diff_0_minus_1,4.260093561725631e-05,0.00013068736304260413
delta_d_cf_1,1.3808678677795782e-06,2.8776861677690575e-05
delta_dC_all,0.0,0.0
delta_plant_mean_diff_0_minus_1,-1.7549628583963805e-05,2.4695346819083963e-05
delta_water_mean_island1,-8.752052843759239e-05,4.651378649281075e-05
delta_attn_mass_3_5_diff_0_minus_1,-0.00010651286680755989,0.0001316834034123631
delta_sun_mean_diff_0_minus_1,-0.00012334910674366873,0.00015664325802825814
delta_water_mean_diff_0_minus_1,-0.00018301993305786858,0.00015828556791065557
delta_dM_all,-0.00021470471320030437,0.00014282938316361263
delta_d_cf_0,-0.0003122949571921918,0.0003830926804309925
delta_water_mean_island0,-0.0003966314463207055,0.0003550895292820538
delta_plant_mean_island0,-0.0004649357911257823,0.0004281372909280324
delta_plant_std_island0,-0.000741492681996212,0.0005646626837903555
delta_sun_std_island1,-0.0012717731091511908,0.0010927456855722723
delta_err_abs_p90_island1,-0.0013095521338808225,0.0010687707240666837
