epoch,feature,threshold,left_rule,right_rule,left_class,right_class,accuracy,n_rows,val_island0,val_island1
0,err_abs_mean,0.12929865717887878,err_abs_mean <= 0.129299 -> class 1,err_abs_mean >  0.129299 -> class 0,1,0,1.0,2,0.2585973230464813,0.0
200,err_abs_mean,0.049888004548847675,err_abs_mean <= 0.049888 -> class 0,err_abs_mean >  0.049888 -> class 1,0,1,1.0,2,0.0308542782800239,0.0689217303818017
400,err_abs_mean,0.046327171847224236,err_abs_mean <= 0.0463272 -> class 0,err_abs_mean >  0.0463272 -> class 1,0,1,1.0,2,0.0340566225085698,0.0585977212242458
600,err_abs_mean,0.04001319222152233,err_abs_mean <= 0.0400132 -> class 0,err_abs_mean >  0.0400132 -> class 1,0,1,1.0,2,0.0300412260471506,0.0499851593504781
800,err_abs_mean,0.04196982830762863,err_abs_mean <= 0.0419698 -> class 0,err_abs_mean >  0.0419698 -> class 1,0,1,1.0,2,0.0330827753302943,0.0508568791548411
1000,err_abs_mean,0.04044211283326149,err_abs_mean <= 0.0404421 -> class 0,err_abs_mean >  0.0404421 -> class 1,0,1,1.0,2,0.0319247339901171,0.048959489698452
1200,err_abs_mean,0.04108899645507336,err_abs_mean <= 0.041089 -> class 0,err_abs_mean >  0.041089 -> class 1,0,1,1.0,2,0.0332597985234059,0.0489181968988033
1400,err_abs_mean,0.03964744508266449,err_abs_mean <= 0.0396474 -> class 0,err_abs_mean >  0.0396474 -> class 1,0,1,1.0,2,0.031723335595198,0.0475715564792616
1600,err_abs_mean,0.04141606576740742,err_abs_mean <= 0.0414161 -> class 0,err_abs_mean >  0.0414161 -> class 1,0,1,1.0,2,0.0361176627438242,0.0467144705189598
1800,err_abs_mean,0.03914026543498039,err_abs_mean <= 0.0391403 -> class 0,err_abs_mean >  0.0391403 -> class 1,0,1,1.0,2,0.0323837545368221,0.0458967747677743
2000,err_abs_mean,0.03763389773666859,err_abs_mean <= 0.0376339 -> class 0,err_abs_mean >  0.0376339 -> class 1,0,1,1.0,2,0.0318017683245918,0.0434660270678258
