epoch,prev_epoch,epsilon_all,dM_all,dC_all,d_cf_all,d_mono_all,d_att_all,d_self_all,n_0,epsilon_0,dM_0,dC_0,d_cf_0,d_mono_0,d_att_0,d_self_0,n_1,epsilon_1,dM_1,dC_1,d_cf_1,d_mono_1,d_att_1,d_self_1
200,0,0.12193515058606863,0.38030370231717825,0.2583685517311096,0.24660631269216537,0.00022410787642002106,0.0209957892075181,0.11247749254107475,285,0.09817915223538876,0.450573792681098,0.35239464044570923,0.2533479109406471,0.0001957286149263382,0.08828940987586975,0.10874074324965477,227,0.2712316666729748,0.4115498815663159,0.14031821489334106,0.2381422519683838,0.00017162086442112923,0.05606696754693985,0.11716904118657112
400,200,-0.011464452836662531,0.05391402682289481,0.06537847965955734,0.04153548181056976,0.00010242266580462456,0.012099450454115868,0.00017667189240455627,282,0.0059317173436284065,0.0690592722967267,0.0631275549530983,0.04511691629886627,3.0368566513061523e-05,0.023340129293501377,0.000571858137845993,230,-0.017037850338965654,0.05110045103356242,0.06813830137252808,0.03714432567358017,0.00010970933362841606,0.012751985341310501,0.001094430685043335
600,400,-0.031211561523377895,0.010678713209927082,0.04189027473330498,0.005058571696281433,0.0008717207238078117,0.00465734489262104,9.107589721679688e-05,282,-0.011578918900340796,0.02042179787531495,0.032000716775655746,0.005916126072406769,0.004039809573441744,0.009555881842970848,0.0009099803864955902,230,-0.04491041507571936,0.009105303324759007,0.05401571840047836,0.0040071457624435425,0.0017004506662487984,0.002079244703054428,0.0013184621930122375
800,600,-0.014745387248694897,0.01696136686950922,0.03170675411820412,0.01376882940530777,0.0008793151937425137,0.0022296919487416744,8.353032171726227e-05,287,-0.013975004199892282,0.023335335310548544,0.037310339510440826,0.015269748866558075,0.0005349270068109035,0.006701851263642311,0.0008288081735372543,225,-0.008901852008420974,0.01565721182851121,0.024559063836932182,0.01185430958867073,0.0011686538346111774,0.0013869765098206699,0.0012472718954086304
1000,800,-0.011686060926876962,0.006043236353434622,0.017729297280311584,0.0026840195059776306,0.0014691762626171112,0.0015419662231579423,0.00034807436168193817,285,-0.0033149956725537777,0.009457843843847513,0.012772839516401291,0.00248032808303833,0.0015310845337808132,0.004475063644349575,0.0009713675826787949,227,-0.01869820710271597,0.00525395292788744,0.02395216003060341,0.0029397644102573395,0.0009526088833808899,0.0009270990267395973,0.00043448060750961304
1200,1000,-0.014790305634960532,0.009494424099102616,0.02428472973406315,0.006886295974254608,0.0018084305338561535,0.0005330487620085478,0.0002666488289833069,284,-0.022566485218703747,0.012289171107113361,0.03485565632581711,0.007466714829206467,0.002586078830063343,0.002011176198720932,0.00022520124912261963,228,-0.001270319800823927,0.009847126435488462,0.01111744623631239,0.006163306534290314,0.0021581975743174553,0.0006463197059929371,0.0008793026208877563
1400,1200,-0.01071455841884017,0.0066392389126122,0.01735379733145237,0.005476746708154678,0.00074417470023036,0.00023599807173013687,0.00018231943249702454,284,-0.006115792319178581,0.0069230953231453896,0.01303888764232397,0.0058593302965164185,8.746515959501266e-06,0.0007226797752082348,0.00033233873546123505,228,-0.016236319905146956,0.006492197746410966,0.022728517651557922,0.005000200122594833,0.0011159544810652733,0.00037149456329643726,4.548579454421997e-06
1600,1400,-0.026599307195283473,0.002407727180980146,0.02900703437626362,0.0013228319585323334,0.0006728274747729301,0.0003526549553498626,5.9412792325019836e-05,287,-0.03147535538300872,0.002470253501087427,0.033945608884096146,0.001445237547159195,0.00015518581494688988,0.0007986566051840782,7.11735337972641e-05,225,-0.019549324410036206,0.003158288775011897,0.022707613185048103,0.0011666864156723022,0.0006338178645819426,0.0011318027973175049,0.0002259816974401474
1800,1600,-0.03256152046378702,0.007757236831821501,0.04031875729560852,0.006725773215293884,0.0005273506976664066,0.00031435408163815737,0.00018975883722305298,286,-0.044039505533874035,0.008215499110519886,0.05225500464439392,0.007042795419692993,0.000292949378490448,0.0008477559313178062,3.199838101863861e-05,226,-0.01696855016052723,0.008245076984167099,0.02521362714469433,0.0063245780766010284,0.0005730581469833851,0.0009580417536199093,0.0003893990069627762
2000,1800,-0.007870019762776792,0.002849913784302771,0.010719933547079563,0.0023178011178970337,0.0004129312001168728,0.00010503095109015703,1.415051519870758e-05,286,-0.008916134480386972,0.004007729236036539,0.012923863716423512,0.0023787952959537506,0.0010667121969163418,0.000438557006418705,0.0001236647367477417,226,-0.00465233251452446,0.0032785534858703613,0.007930886000394821,0.002240613102912903,0.0004630153998732567,0.0004505021497607231,0.0001244228333234787
