feature,importance_mean,importance_std
attn_mass_3_5,0.00391544551791422,0.0010063112650697003
y_stat_mean,0.0028539083216896936,0.0006248034233459293
plant_mean,0.0025394826686812953,0.0006370103303762792
sun_minus_water_mean,0.0015283387401439598,0.00036492630081529694
plant_std,0.0013380469372105484,0.0003253870473021333
sun_std,0.0010074434366560997,0.0002235767303701851
water_mean,0.0009501489479040898,0.00023298819754807767
delta_sun_mean,0.0009202969096055135,0.0003092355949053234
attn_mass_6,0.0007551730002172183,0.00026068319381664513
sun_mean,0.0007028987458878111,0.0001936494623219638
y_sem_mean,0.0006200647431865432,0.00016660949288081536
y_mix_std,0.000517870256315754,0.0001684016832403723
sun_plus_water_mean,0.000457270153541063,0.0001445763766850767
y_mix_mean,0.0003299147190507952,8.005847068682479e-05
delta_ratio_sun_over_plant,0.0003261847263654581,0.00014549294365361328
attn_mass_0_2,0.00026972473406559677,0.00017284724943305918
delta_plant_mean,0.00022420056969937277,5.236020992424426e-05
water_std,9.203562114059106e-05,6.0120758293463e-05
plant_is_zero,5.237426743300416e-05,3.201930253986851e-05
