feature,importance_mean,importance_std
attn_mass_3_5,0.00345418806912526,0.0009084934246621915
y_stat_mean,0.0033051356057127498,0.0007475062447900258
plant_mean,0.0030753497913794834,0.0007399045715253234
plant_std,0.0014241778571308877,0.0003520807732567637
sun_minus_water_mean,0.0013545371000773217,0.0003295529531498341
sun_std,0.000976935306738335,0.00021480516621611058
water_mean,0.0009518271365235666,0.00023035756714890801
delta_sun_mean,0.000721781794313794,0.0002114334320758833
attn_mass_6,0.0006670175435963991,0.00021946367155251893
y_sem_mean,0.000599729362714307,0.00015390535598783516
sun_mean,0.0005982124781705868,0.00016520908037017328
sun_plus_water_mean,0.0005285537955595394,0.00015229940400692763
y_mix_std,0.0004334398680575054,0.0001680519295689918
delta_ratio_sun_over_plant,0.0003364824093579717,0.00016912155361945244
island_cat,0.0002423571475356296,8.330790275186409e-05
attn_mass_0_2,0.00023753806033344213,0.00013584336668611427
delta_plant_mean,0.00020935260947633206,4.9403478234954995e-05
y_mix_mean,0.0001785352645650321,4.022181371672321e-05
water_std,4.277771253681844e-05,5.305979745629775e-05
plant_is_zero,3.1394414981089894e-05,2.146090063242728e-05
