feature,importance_mean,importance_std
plant_mean,0.012208946879223002,0.0017200295653867794
y_stat_mean,0.007815498199607909,0.0013356554132250488
y_mix_std,0.006587268735261675,0.001589174792201526
water_mean,0.006403786670154613,0.0011277470318630247
sun_minus_water_mean,0.0061052962667095135,0.0013283684336617418
sun_mean,0.006060304853366996,0.0013180702536757286
sun_plus_water_mean,0.006008260734249792,0.0013050388574537253
attn_mass_6,0.00586978017638758,0.0015608823696074915
plant_std,0.005555868603458098,0.0013780577314031798
sun_std,0.005071642219031414,0.0010301849369080448
delta_sun_mean,0.0047927583738142585,0.0009684774127769825
delta_plant_mean,0.004304646928790682,0.0008371423271736963
y_mix_mean,0.004304646928790638,0.0008371423271736891
plant_is_zero,0.004147215205320933,0.0008526299516864836
delta_ratio_sun_over_plant,0.002329028731889256,0.0005014127994681604
attn_mass_3_5,0.0017618849953790258,0.0004864890947277189
attn_mass_0_2,0.001224534724478593,0.0003946510974723113
y_sem_mean,0.000994674256434871,0.0003036010545911617
water_std,0.00046474112502524977,0.00021728748314871777
island_cat,-2.1391399820869847e-06,7.635518999608473e-05
