feature,importance_mean,importance_std
y_stat_mean,0.007447394098563661,0.001534932323508153
plant_std,0.006192085973100211,0.0014398445488986097
attn_mass_3_5,0.004545242472659538,0.001227073502600777
water_mean,0.004059268916856143,0.0009021291087722909
sun_std,0.003433096522732182,0.0008116112203267946
sun_mean,0.00326065468147667,0.0008054785342550194
sun_minus_water_mean,0.0032218788983821816,0.0007874810483585458
plant_mean,0.0027206569609100955,0.0007339207468269849
sun_plus_water_mean,0.0025751347765922226,0.0006505349968722445
y_sem_mean,0.001197253275600381,0.0004316106195049611
attn_mass_6,0.0009343509560281965,0.0002776026680434936
y_mix_mean,0.00065719708520721,0.0001789309478392414
delta_sun_mean,0.0005310311992602574,0.0002683317503017094
y_mix_std,0.0005218290342851361,0.00019833516192828844
delta_plant_mean,0.00042594970197029207,0.000108050352203609
delta_ratio_sun_over_plant,0.00033137161520400954,0.00018059534674123517
water_std,0.0003283033905896734,0.00010731954788614493
attn_mass_0_2,0.0003191611151153814,0.000270067867741712
plant_is_zero,8.527340392633122e-05,5.416931759934e-05
