feature,importance_mean,importance_std
y_stat_mean,0.008191832806045402,0.0016947554553590426
plant_std,0.005260877300630914,0.0012392823532125891
water_mean,0.004863886716842658,0.0010458235587636829
attn_mass_3_5,0.0043385024315228055,0.0011707185284591465
sun_std,0.0037918151222792263,0.000898352745889995
sun_minus_water_mean,0.002990940009713156,0.0007231893273555249
plant_mean,0.0028609215771502605,0.0007519724350090048
sun_mean,0.0024480372023690695,0.0005990504685289333
sun_plus_water_mean,0.002361623481685437,0.0006381760231160396
island_cat,0.0012298612046783175,0.0004486419399073465
y_sem_mean,0.0011665145497430768,0.0004255881677338473
attn_mass_6,0.000931312156373837,0.00029024197223792445
delta_sun_mean,0.0004992472048998537,0.0002467493723217815
delta_plant_mean,0.000494346459594648,0.00013042621653239076
delta_ratio_sun_over_plant,0.00043658487852060973,0.00023131509527847942
y_mix_std,0.00040198094461184954,0.00016472761753264038
y_mix_mean,0.00039441640430148007,8.65484889996217e-05
attn_mass_0_2,0.000289652647094344,0.00016180424554887172
water_std,0.0002226250038688976,8.91556761672542e-05
plant_is_zero,0.00011292720813101727,6.254895773159521e-05
