feature,importance_mean,importance_std
attn_mass_3_5,0.00520137317581768,0.0013545248328014911
y_stat_mean,0.002441529995125184,0.0005637973116008436
plant_mean,0.0018192054199162402,0.0004595391575251602
y_mix_std,0.0017751919920650663,0.00045605499382874516
water_std,0.0009287767587400278,0.0003701643826895652
delta_sun_mean,0.0008385511919583005,0.0003857317236553992
y_sem_mean,0.0005616324791793259,0.0001514607732298375
attn_mass_6,0.0005473861295889336,0.00024575773848078297
delta_ratio_sun_over_plant,0.0004608851083230991,0.00024911777885035095
sun_std,0.0004581057198561963,0.000233909065238724
plant_std,0.00040168148481752974,0.00025975196463028875
water_mean,0.00035826707126589987,0.00016210503898137085
attn_mass_0_2,0.0003448987723779874,0.00022404928058383677
sun_minus_water_mean,0.00031537468410751445,0.00016577942508102264
y_mix_mean,0.00026429763086042464,8.388556123472203e-05
delta_plant_mean,0.00022257066278974155,6.748812421984542e-05
sun_mean,9.177043911028363e-05,6.787127719984354e-05
sun_plus_water_mean,8.672824579908513e-05,4.460421322625046e-05
plant_is_zero,-1.3308253103579484e-06,1.0574523261240822e-06
