feature,importance_mean,importance_std
attn_mass_3_5,0.004786649448798847,0.0012701615460796558
plant_mean,0.00267198824827793,0.0006544816237127116
y_stat_mean,0.002595794440719816,0.0005951080864825867
y_mix_std,0.0018585367270057185,0.0004579478992127073
water_std,0.0008914750894213788,0.00035624146473446855
y_sem_mean,0.000576794271835922,0.00014843824212706417
delta_ratio_sun_over_plant,0.0005579773048543516,0.00025702717969004925
plant_std,0.000539616515551453,0.00029660377213021333
water_mean,0.0004676445076259247,0.00021308925427019395
attn_mass_0_2,0.0004519593999650574,0.0002749165188191635
attn_mass_6,0.00041353386862677885,0.00016670570113913447
delta_sun_mean,0.00030229820106265865,0.00019795712113505459
sun_minus_water_mean,0.0002827541919176549,0.00015251675862831037
sun_std,0.00025760421044049964,0.00015739127027454707
delta_plant_mean,0.00025132732793241535,7.532028356759046e-05
y_mix_mean,0.00024284089798948315,7.188749664168619e-05
sun_mean,9.627708303873088e-05,6.931158999308073e-05
sun_plus_water_mean,8.191212077278458e-05,4.784927228762268e-05
island_cat,5.381133611680154e-06,4.747349815473395e-06
plant_is_zero,1.2970096808618755e-06,6.88020008542728e-07
