feature,perm_importance_mean,perm_importance_std
delta_plant_std_island1,0.037088910356512614,0.01449141703894846
delta_plant_mean_island1,0.03638323297628009,0.014210562941672585
delta_sun_std_island0,0.03344423761095938,0.01626544642793758
delta_y_mix_mean_island1,0.024479621691249953,0.010130039249604539
delta_corr_y_mix_true_island0,0.022103233354275383,0.012784722113083825
delta_err_abs_mean_island0,0.02106402102988022,0.014059522581564069
delta_d_self_0,0.020969977351684276,0.01048858958702994
delta_delta_plant_mean_island1,0.02051619521948812,0.008186285472182721
delta_attn_mass_0_2_island1,0.019682569080161614,0.009908629701234625
delta_delta_plant_mean_diff_0_minus_1,0.016104306849537262,0.00859110654208306
delta_epsilon_0,0.016053741972545346,0.008670361161489773
delta_delta_ratio_sun_over_plant_island0,0.010713278812129577,0.0053175681207544455
delta_delta_sun_mean_island1,0.009800423916519765,0.00434250356101292
delta_err_abs_mean_diff_0_minus_1,0.009346462312181671,0.00615444745367693
delta_attn_mass_3_5_island1,0.009327149081706836,0.005026924745529027
delta_err_signed_mean_island0,0.008004946536030271,0.004071258220317773
delta_attn_mass_6_island1,0.007616942318187505,0.005688130488732518
delta_y_stat_mean_diff_0_minus_1,0.007554887018000913,0.0048255839743627914
delta_y_mix_mean_diff_0_minus_1,0.007452569201464747,0.0040105714890858605
delta_y_mix_std_island0,0.0065509991787112785,0.0036716266338188077
delta_delta_sun_mean_diff_0_minus_1,0.006377366762864627,0.004508287819751148
delta_attn_mass_6_diff_0_minus_1,0.005791343898299039,0.004156878373795885
delta_epsilon_all,0.00572021189189146,0.004513085154992599
delta_attn_mass_0_2_diff_0_minus_1,0.005374779651530041,0.003895035106549039
delta_d_self_all,0.005243654741453838,0.0027680893945358775
delta_d_att_all,0.005042491480295865,0.003706303606052373
delta_delta_sun_mean_island0,0.004089247806634475,0.0037396273919034296
delta_water_std_island1,0.0034308225568655936,0.0022452272725742824
delta_y_stat_mean_island0,0.003396083018144993,0.0024710447951192946
delta_d_self_1,0.00337084927024029,0.002101047076570555
delta_y_mix_std_diff_0_minus_1,0.003171751365598825,0.0013286404797624115
delta_corr_y_mix_true_diff_0_minus_1,0.0031098769695397086,0.002295302405280872
delta_water_std_diff_0_minus_1,0.003010947587580739,0.0020476361591228584
delta_sun_std_diff_0_minus_1,0.0028268067073058422,0.0021934228088955595
delta_y_stat_mean_island1,0.002772292407901178,0.001661707433685669
delta_attn_mass_3_5_island0,0.002683118009008516,0.0019752358761184656
delta_corr_y_mix_true_island1,0.002543123285873723,0.0017860870828038185
delta_sun_mean_island0,0.0025369655567868674,0.0019530758084291566
delta_delta_plant_mean_island0,0.0024444973553291206,0.0031161738008634995
delta_sun_mean_island1,0.0022552270292845165,0.0018939773291941162
delta_epsilon_1,0.002086621539378546,0.0016345700284050811
delta_y_mix_std_island1,0.002081122337294774,0.0008500088110025177
delta_d_att_0,0.00198251182299946,0.0022752768039832863
delta_attn_mass_0_2_island0,0.0018971229149499713,0.001686614983257697
delta_y_sem_mean_island0,0.00187802469528898,0.0010702292546666504
delta_delta_ratio_sun_over_plant_island1,0.0016358322125785607,0.0009499058161840907
delta_attn_mass_6_island0,0.0014737720821951727,0.001327191613999331
delta_y_sem_mean_diff_0_minus_1,0.0014610466774561525,0.0010367720893482049
delta_d_cf_all,0.001426785799488064,0.000747218550615112
delta_water_std_island0,0.0014226093085527047,0.0009303780567791118
delta_y_sem_mean_island1,0.0012837986434204507,0.0011527431081240736
delta_d_att_1,0.0010619798801185265,0.0016214579379137983
delta_y_mix_mean_island0,0.0010202702203522995,0.0010208435678045206
delta_err_signed_mean_island1,0.0010000141655261796,0.0014415379690926823
delta_delta_ratio_sun_over_plant_diff_0_minus_1,0.000977832791905997,0.0007506213707850665
delta_err_signed_mean_diff_0_minus_1,0.0009277148428000559,0.0007888506918217727
delta_err_abs_mean_island1,0.0009143480917509761,0.0008984251669057931
delta_plant_std_diff_0_minus_1,0.0008093496173548753,0.0006738475313217537
delta_err_abs_p90_island0,0.0007059877443049278,0.004159100620043583
delta_err_abs_p90_diff_0_minus_1,4.197696022450126e-05,0.00013159925220786612
delta_d_cf_1,5.66768938765616e-07,2.927783141291928e-05
delta_dC_all,0.0,0.0
delta_plant_mean_diff_0_minus_1,-1.8442771922280166e-05,2.480570731345704e-05
delta_water_mean_island1,-8.803364770921363e-05,4.660081041523468e-05
delta_attn_mass_3_5_diff_0_minus_1,-0.00010815440300181223,0.0001319093815505671
delta_sun_mean_diff_0_minus_1,-0.00012026059963454738,0.00015611529769071818
delta_water_mean_diff_0_minus_1,-0.0001845405227491903,0.00015795998892547018
delta_dM_all,-0.00021522538092952904,0.00014316031403548406
delta_d_cf_0,-0.0003090156447826775,0.00038282229378563807
delta_water_mean_island0,-0.00039747346166186804,0.00035453964004590816
delta_plant_mean_island0,-0.00046536767701987447,0.0004272796170282168
delta_plant_std_island0,-0.0007460307887221473,0.000563249552250938
delta_sun_std_island1,-0.0012799402106725055,0.001091072366825091
delta_err_abs_p90_island1,-0.001315396826353461,0.0010674597662397969
