feature,perm_importance_mean,perm_importance_std
delta_plant_mean_island1,1.156710261759127,0.3950721523832259
delta_y_mix_mean_diff_0_minus_1,0.018419440845493896,0.006615322829400972
delta_plant_std_island0,0.0,0.0
delta_plant_std_island1,0.0,0.0
delta_sun_mean_island0,0.0,0.0
delta_sun_mean_island1,0.0,0.0
delta_sun_std_island0,0.0,0.0
delta_sun_std_island1,0.0,0.0
delta_water_mean_island0,0.0,0.0
delta_plant_mean_island0,0.0,0.0
delta_water_mean_island1,0.0,0.0
delta_water_std_island0,0.0,0.0
delta_err_abs_mean_island0,0.0,0.0
delta_water_std_island1,0.0,0.0
delta_err_abs_p90_island0,0.0,0.0
delta_err_abs_p90_island1,0.0,0.0
delta_err_signed_mean_island0,0.0,0.0
delta_err_abs_mean_island1,0.0,0.0
delta_plant_mean_diff_0_minus_1,0.0,0.0
delta_plant_std_diff_0_minus_1,0.0,0.0
delta_sun_mean_diff_0_minus_1,0.0,0.0
delta_sun_std_diff_0_minus_1,0.0,0.0
delta_water_mean_diff_0_minus_1,0.0,0.0
delta_water_std_diff_0_minus_1,0.0,0.0
delta_err_abs_mean_diff_0_minus_1,0.0,0.0
delta_err_signed_mean_island1,0.0,0.0
delta_err_signed_mean_diff_0_minus_1,0.0,0.0
delta_y_mix_mean_island0,0.0,0.0
delta_y_mix_mean_island1,0.0,0.0
delta_y_mix_std_island0,0.0,0.0
delta_y_mix_std_island1,0.0,0.0
delta_corr_y_mix_true_island0,0.0,0.0
delta_corr_y_mix_true_island1,0.0,0.0
delta_y_stat_mean_island0,0.0,0.0
delta_y_stat_mean_island1,0.0,0.0
delta_y_sem_mean_island0,0.0,0.0
delta_y_sem_mean_island1,0.0,0.0
delta_delta_sun_mean_island0,0.0,0.0
delta_delta_sun_mean_island1,0.0,0.0
delta_delta_plant_mean_island0,0.0,0.0
delta_delta_plant_mean_island1,0.0,0.0
delta_err_abs_p90_diff_0_minus_1,0.0,0.0
delta_delta_ratio_sun_over_plant_island0,0.0,0.0
delta_delta_ratio_sun_over_plant_island1,0.0,0.0
delta_attn_mass_0_2_island1,0.0,0.0
delta_attn_mass_0_2_island0,0.0,0.0
delta_attn_mass_3_5_island0,0.0,0.0
delta_attn_mass_3_5_island1,0.0,0.0
delta_attn_mass_6_island0,0.0,0.0
delta_attn_mass_6_island1,0.0,0.0
delta_y_mix_std_diff_0_minus_1,0.0,0.0
delta_corr_y_mix_true_diff_0_minus_1,0.0,0.0
delta_y_stat_mean_diff_0_minus_1,0.0,0.0
delta_y_sem_mean_diff_0_minus_1,0.0,0.0
delta_delta_sun_mean_diff_0_minus_1,0.0,0.0
delta_delta_plant_mean_diff_0_minus_1,0.0,0.0
delta_delta_ratio_sun_over_plant_diff_0_minus_1,0.0,0.0
delta_attn_mass_0_2_diff_0_minus_1,0.0,0.0
delta_attn_mass_3_5_diff_0_minus_1,0.0,0.0
delta_attn_mass_6_diff_0_minus_1,0.0,0.0
delta_epsilon_all,0.0,0.0
delta_dM_all,0.0,0.0
delta_dC_all,0.0,0.0
delta_d_cf_all,0.0,0.0
delta_d_att_all,0.0,0.0
delta_d_self_all,0.0,0.0
delta_epsilon_0,0.0,0.0
delta_d_cf_0,0.0,0.0
delta_d_att_0,0.0,0.0
delta_d_self_0,0.0,0.0
delta_epsilon_1,0.0,0.0
delta_d_cf_1,0.0,0.0
delta_d_att_1,0.0,0.0
delta_d_self_1,0.0,0.0
