feature,mean_abs_z,mean_z,max_abs_z,n_events
prof__delta_ratio_sun_over_plant_diff_0_minus_1,4.308098368250454,4.308098368250454,4.308098368250454,1
env__err_abs_p50_island1,4.263603676108773,4.263603676108773,4.263603676108773,1
prof__y_stat_mean_island0,4.1327967341950105,-4.1327967341950105,4.1327967341950105,1
env__err_abs_max_island1,4.094784158858599,4.094784158858599,4.094784158858599,1
env__err_signed_max_island1,4.094784158858599,4.094784158858599,4.094784158858599,1
env__err_abs_p75_island1,4.074196176966074,4.074196176966074,4.074196176966074,1
env__err_abs_mean_island1,4.071946881936554,4.071946881936554,4.071946881936554,1
prof__y_stat_mean_diff_0_minus_1,3.951630722555791,-3.951630722555791,3.951630722555791,1
env__err_signed_std_island1,3.9368146407907894,3.9368146407907894,3.9368146407907894,1
prof__y_stat_mean_island1,3.903176766677592,3.903176766677592,3.903176766677592,1
env__err_abs_max_diff_0_minus_1,3.896413306465196,-3.896413306465196,3.896413306465196,1
env__err_abs_p90_island1,3.886678934672073,3.886678934672073,3.886678934672073,1
env__err_abs_std_island1,3.8566872858477614,3.8566872858477614,3.8566872858477614,1
env__err_signed_max_diff_0_minus_1,3.7956902294458,-3.7956902294458,3.7956902294458,1
env__err_signed_p25_diff_0_minus_1,3.789595562759344,3.789595562759344,3.789595562759344,1
prof__y_mix_std_diff_0_minus_1,3.786658192324222,3.786658192324222,3.786658192324222,1
env__err_signed_p10_diff_0_minus_1,3.7799924806975653,3.7799924806975653,3.7799924806975653,1
env__err_signed_std_diff_0_minus_1,3.7064832673032875,-3.7064832673032875,3.7064832673032875,1
env__plant_mean_island0,3.695671529279371,-3.695671529279371,3.695671529279371,1
env__err_abs_std_diff_0_minus_1,3.6882342087171094,-3.6882342087171094,3.6882342087171094,1
prof__delta_plant_mean_diff_0_minus_1,3.6543081763830516,-3.6543081763830516,3.6543081763830516,1
prof__y_mix_mean_diff_0_minus_1,3.6543081763830516,-3.6543081763830516,3.6543081763830516,1
env__err_signed_p10_island1,3.6305438778029204,-3.6305438778029204,3.6305438778029204,1
env__err_signed_min_island0,3.607972293270442,3.607972293270442,3.607972293270442,1
env__err_abs_p90_diff_0_minus_1,3.5954260143759207,-3.5954260143759207,3.5954260143759207,1
env__plant_mean_diff_0_minus_1,3.594844098982872,-3.594844098982872,3.594844098982872,1
env__err_signed_mean_diff_0_minus_1,3.5884548603612703,3.5884548603612703,3.5884548603612703,1
env__err_signed_p75_diff_0_minus_1,3.586516433718275,3.586516433718275,3.586516433718275,1
env__err_abs_p75_diff_0_minus_1,3.583324971594293,-3.583324971594293,3.583324971594293,1
env__err_abs_p50_diff_0_minus_1,3.575991810876031,-3.575991810876031,3.575991810876031,1
env__err_abs_max_island0,3.5616726162671264,-3.5616726162671264,3.5616726162671264,1
env__plant_mean_island1,3.545730465846239,3.545730465846239,3.545730465846239,1
env__err_abs_mean_diff_0_minus_1,3.5367917846608363,-3.5367917846608363,3.5367917846608363,1
env__water_p75_island0,3.531506903799362,3.531506903799362,3.531506903799362,1
env__err_signed_p25_island0,3.5166909302722433,3.5166909302722433,3.5166909302722433,1
prof__y_mix_mean_island1,3.510049821620598,3.510049821620598,3.510049821620598,1
prof__delta_plant_mean_island1,3.510049821620598,3.510049821620598,3.510049821620598,1
prof__y_mix_std_island0,3.4840532855947246,3.4840532855947246,3.4840532855947246,1
env__err_signed_p10_island0,3.4679334741745995,3.4679334741745995,3.4679334741745995,1
env__sun_min_diff_0_minus_1,3.4669709551751127,3.4669709551751127,3.4669709551751127,1
env__sun_min_island0,3.4669709551751127,3.4669709551751127,3.4669709551751127,1
env__err_signed_mean_island0,3.43935162385715,3.43935162385715,3.43935162385715,1
env__err_signed_p75_island0,3.4348783901156508,3.4348783901156508,3.4348783901156508,1
