epoch,feature,threshold,left_rule,right_rule,left_class,right_class,accuracy,n_rows,val_island0,val_island1,threshold_prev,threshold_diff,abs_threshold_diff,is_event,event_sign
0,err_abs_mean,0.1292986571788787,err_abs_mean <= 0.129299 -> class 1,err_abs_mean >  0.129299 -> class 0,1,0,1.0,2,0.2585973230464813,0.0,,,,False,0
200,err_abs_mean,0.0498880045488476,err_abs_mean <= 0.049888 -> class 0,err_abs_mean >  0.049888 -> class 1,0,1,1.0,2,0.0308542782800239,0.0689217303818017,0.1292986571788787,-0.07941065263003111,0.07941065263003111,True,-1
400,err_abs_mean,0.0463271718472242,err_abs_mean <= 0.0463272 -> class 0,err_abs_mean >  0.0463272 -> class 1,0,1,1.0,2,0.0340566225085698,0.0585977212242458,0.0498880045488476,-0.003560832701623398,0.003560832701623398,False,-1
600,err_abs_mean,0.0400131922215223,err_abs_mean <= 0.0400132 -> class 0,err_abs_mean >  0.0400132 -> class 1,0,1,1.0,2,0.0300412260471506,0.0499851593504781,0.0463271718472242,-0.006313979625701904,0.006313979625701904,False,-1
800,err_abs_mean,0.0419698283076286,err_abs_mean <= 0.0419698 -> class 0,err_abs_mean >  0.0419698 -> class 1,0,1,1.0,2,0.0330827753302943,0.0508568791548411,0.0400131922215223,0.0019566360861063004,0.0019566360861063004,False,1
1000,err_abs_mean,0.0404421128332614,err_abs_mean <= 0.0404421 -> class 0,err_abs_mean >  0.0404421 -> class 1,0,1,1.0,2,0.0319247339901171,0.048959489698452,0.0419698283076286,-0.0015277154743671972,0.0015277154743671972,False,-1
1200,err_abs_mean,0.0410889964550733,err_abs_mean <= 0.041089 -> class 0,err_abs_mean >  0.041089 -> class 1,0,1,1.0,2,0.0332597985234059,0.0489181968988033,0.0404421128332614,0.0006468836218119015,0.0006468836218119015,False,1
1400,err_abs_mean,0.0396474450826644,err_abs_mean <= 0.0396474 -> class 0,err_abs_mean >  0.0396474 -> class 1,0,1,1.0,2,0.031723335595198,0.0475715564792616,0.0410889964550733,-0.0014415513724089016,0.0014415513724089016,False,-1
1600,err_abs_mean,0.0414160657674074,err_abs_mean <= 0.0414161 -> class 0,err_abs_mean >  0.0414161 -> class 1,0,1,1.0,2,0.0361176627438242,0.0467144705189598,0.0396474450826644,0.0017686206847430039,0.0017686206847430039,False,1
1800,err_abs_mean,0.0391402654349803,err_abs_mean <= 0.0391403 -> class 0,err_abs_mean >  0.0391403 -> class 1,0,1,1.0,2,0.0323837545368221,0.0458967747677743,0.0414160657674074,-0.002275800332427101,0.002275800332427101,False,-1
2000,err_abs_mean,0.0376338977366685,err_abs_mean <= 0.0376339 -> class 0,err_abs_mean >  0.0376339 -> class 1,0,1,1.0,2,0.0318017683245918,0.0434660270678258,0.0391402654349803,-0.0015063676983117988,0.0015063676983117988,False,-1
