epoch,alpha,epsilon,dC,dM,d_cf,d_mono,d_att,d_self,self_f,self_g,Val_sem,self_mass,env_sum_tr,I_sum_tr,self_m_tr,corr_tr,env_sum_val,I_sum_val,self_m_val,corr_val,alpha_used,y_stat_mean,y_sem_mean,y_mix_mean,corr_stat,corr_sem,corr_mix,cf_s0_stat_mean,cf_s0_sem_mean,cf_s0_mix_mean,cf_p0_stat_mean,cf_p0_sem_mean,cf_p0_mix_mean,contrib_stat,contrib_sem,eps_mode,eps_override,alpha_override,mul_real,mul_sem,mul_cf,mul_mono,mul_cos,mul_ent,mul_env,mul_self,self_target
200,0.5,0.14453861629590392,0.26929643750190735,0.41383505379781127,0.25672993808984756,0.00023758737370371819,0.0449809655547142,0.11188656277954578,0.030403731390833855,0.14229029417037964,0.08933834731578827,0.02989591285586357,0.41351935267448425,0.5560769438743591,0.030403731390833855,0.9309425354003906,0.4127300977706909,0.5569183826446533,0.030351513996720314,0.9345144629478455,0.5,0.6686122417449951,0.591656506061554,0.6301342844963074,0.92481929063797,0.9309425354003906,0.9818478226661682,0.7389867305755615,0.12278827279806137,0.43088749051094055,0.0,0.0,0.0,0.5305314660072327,0.46946853399276733,alpha_override,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.03
400,0.5,0.10392225347459316,0.06886129081249237,0.17278354428708553,0.032688066363334656,0.0019162185490131378,0.1375887542963028,0.0005905050784349442,0.02981322631239891,0.030403731390833855,0.04392934963107109,0.029737649485468864,0.2449464648962021,0.7252403497695923,0.02981322631239891,0.9661430716514587,0.24468854069709778,0.7255947589874268,0.02971675433218479,0.9695664048194885,0.5,0.6306637525558472,0.616577684879303,0.6236206889152527,0.9509434103965759,0.9661430716514587,0.9847247004508972,0.6395979523658752,0.09010020643472672,0.3648490905761719,0.0,0.0,0.0,0.5056469142436981,0.4943530857563019,alpha_override,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.03
600,0.5,-0.04536354960873723,0.06467176228761673,0.0193082126788795,0.007946908473968506,0.00026233354583382607,0.011080552823841572,1.8417835235595703e-05,0.029831644147634506,0.02981322631239891,0.039251673966646194,0.029814228415489197,0.2031763792037964,0.7669920325279236,0.029831644147634506,0.9723706841468811,0.2030513882637024,0.7672127485275269,0.029735928401350975,0.9751712679862976,0.5,0.6297476887702942,0.6799827218055725,0.6548652052879333,0.9615908861160278,0.9723706841468811,0.9864234924316406,0.6096748113632202,0.08215329796075821,0.3459140360355377,0.0,0.0,0.0,0.4808223843574524,0.5191776156425476,alpha_override,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.03
800,0.5,-0.053953802795149386,0.07165173441171646,0.017697931616567075,0.01514967530965805,0.0005449200980365276,0.0013908575056120753,0.0006124787032604218,0.030444122850894928,0.029831644147634506,0.03870711475610733,0.03037908673286438,0.18951663374900818,0.7800393104553223,0.030444122850894928,0.9742653965950012,0.18941885232925415,0.7802316546440125,0.03034955821931362,0.9773645401000977,0.5,0.6282780170440674,0.6085807085037231,0.6184293627738953,0.9670810103416443,0.9742653965950012,0.987114429473877,0.5897124409675598,0.06700362265110016,0.3283580541610718,0.0,0.0,0.0,0.5079626441001892,0.4920373558998108,alpha_override,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.03
1000,0.5,-0.0017120055854320526,0.015339039266109467,0.013627033680677414,0.011654138565063477,0.00021199416369199753,0.0012656943872570992,0.0004952065646648407,0.029948916286230087,0.030444122850894928,0.040837302803993225,0.02980829030275345,0.17620669305324554,0.79384446144104,0.029948916286230087,0.9756724238395691,0.1761118471622467,0.7940343618392944,0.029853783547878265,0.9793761372566223,0.5,0.628240168094635,0.6029158234596252,0.6155779957771301,0.9708192348480225,0.9756724238395691,0.9870821237564087,0.5741164684295654,0.05534948408603668,0.31473296880722046,0.0,0.0,0.0,0.5102847814559937,0.48971521854400635,alpha_override,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.03
1200,0.5,-0.02678384236060083,0.029596412554383278,0.0028125701937824488,0.0009583309292793274,0.0003948751837015152,0.0013239795807749033,0.00013538450002670288,0.029813531786203384,0.029948916286230087,0.036848198622465134,0.02993452362716198,0.1643953174352646,0.8057912588119507,0.029813535511493683,0.9776714444160461,0.164322167634964,0.8059529662132263,0.029724903404712677,0.9812427759170532,0.5,0.6277002096176147,0.6308777332305908,0.629288911819458,0.9726630449295044,0.9776714444160461,0.9874866604804993,0.5645411014556885,0.054391153156757355,0.309466153383255,0.0,0.0,0.0,0.498737633228302,0.501262366771698,alpha_override,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.03
1225,0.5,-0.01596064050681889,0.01892053708434105,0.0029598965775221586,0.001675918698310852,0.0011388324201107025,5.462649278342724e-05,9.051896631717682e-05,0.02990405075252056,0.029813531786203384,0.04194542393088341,0.030051270499825478,0.16376981139183044,0.8063262701034546,0.02990405075252056,0.9770035743713379,0.16368670761585236,0.8064982891082764,0.02981504611670971,0.979992151260376,0.5,0.6275278329849243,0.6389217376708984,0.6332247853279114,0.9727898240089417,0.9770035743713379,0.9882550239562988,0.5637314319610596,0.0527152344584465,0.30822333693504333,0.0,0.0,0.0,0.49550163745880127,0.5044983625411987,alpha_override,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.03
1250,0.5,-0.03768561226024758,0.03976750746369362,0.002081895203446038,0.0017612241208553314,3.868294879794121e-05,7.3336559580639005e-06,0.00027465447783470154,0.030178705230355263,0.02990405075252056,0.04535171017050743,0.029954807832837105,0.1634821891784668,0.8063391447067261,0.030178705230355263,0.9766687750816345,0.1634063422679901,0.8065033555030823,0.030090363696217537,0.979582667350769,0.5,0.6262072920799255,0.5991541743278503,0.6126807928085327,0.9729663133621216,0.9766687750816345,0.9881388545036316,0.5615957379341125,0.05095401033759117,0.3062748610973358,0.0,0.0,0.0,0.5110388398170471,0.4889611601829529,alpha_override,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.03
1275,0.5,-0.01286223903298378,0.020755749195814133,0.007893510162830353,0.00713178887963295,0.0004471512511372566,5.142856389284134e-05,0.000263141468167305,0.029915563762187958,0.030178705230355263,0.05120436102151871,0.02989787608385086,0.16137920320034027,0.8087052702903748,0.029915563762187958,0.9738286137580872,0.16132085025310516,0.8088482618331909,0.029830891638994217,0.9772576093673706,0.5,0.6256428956985474,0.5827604532241821,0.6042016744613647,0.9730802774429321,0.9738286137580872,0.9867379069328308,0.5604987740516663,0.04382222145795822,0.30216047167778015,0.0,0.0,0.0,0.5177434384822845,0.48225656151771545,alpha_override,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.03
1300,0.5,-0.024238498648628592,0.027282211929559708,0.003043713280931115,0.0014193244278430939,0.0013691699132323265,4.198332317173481e-05,0.00021323561668395996,0.030128799378871918,0.029915563762187958,0.04458030313253403,0.030034741386771202,0.1608637273311615,0.8090075254440308,0.030128799378871918,0.9780266880989075,0.16079780459403992,0.8091581463813782,0.03004409931600094,0.9814069271087646,0.5,0.6266185641288757,0.6068219542503357,0.6167202591896057,0.9731561541557312,0.9780266880989075,0.9880573749542236,0.5609918832778931,0.045241545885801315,0.30311670899391174,0.0,0.0,0.0,0.5080249607563019,0.4919750392436981,alpha_override,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.03
