epoch,prev_epoch,epsilon_all,dM_all,dC_all,d_cf_all,d_mono_all,d_att_all,d_self_all,n_0,epsilon_0,dM_0,dC_0,d_cf_0,d_mono_0,d_att_0,d_self_0,n_1,epsilon_1,dM_1,dC_1,d_cf_1,d_mono_1,d_att_1,d_self_1
200,0,0.8264125590212643,1.210786343086511,0.3843737840652466,1.1943671703338623,0.000861703883856535,0.01540717575699091,0.00015029311180114746,376,0.8716354421339929,1.1446757069788873,0.2730402648448944,1.1252764165401459,0.000637927558273077,0.014568369835615158,0.0041929930448532104,136,0.7297477880074439,1.4219260373665747,0.6921782493591309,1.3853827975271997,0.0008297562599182129,0.023555313237011433,0.012158170342445374
400,200,0.1760719269514084,0.25759464502334595,0.08152271807193756,0.029376685619354248,0.010790802538394928,0.1607445329427719,0.05668262392282486,376,0.1611337698996067,0.2721434272825718,0.11100965738296509,0.040002286434173584,0.01621275767683983,0.16051656007766724,0.055411823093891144,136,0.24030320086587284,0.2403032011857249,3.198520615033118e-10,5.161382432561368e-10,0.011589949019253254,0.16851718723773956,0.06019606441259384
600,400,0.07378375995904207,0.10181690100580454,0.028033141046762466,0.01713252067565918,0.003565010614693165,0.023060567677021027,0.05805880203843117,376,0.07161913625895977,0.10979192517697811,0.03817278891801834,0.02332940697669983,0.001293892040848732,0.022396553307771683,0.06277207285165787,136,0.09011974838053133,0.09011974838358583,3.0544978438934445e-12,7.275957614183426e-12,0.0023502809926867485,0.04274148307740688,0.04502798430621624
800,600,0.03694342542439699,0.10526448953896761,0.06832106411457062,0.04496319591999054,0.007888530381023884,0.04350795038044453,0.00890481285750866,376,0.030878102406859398,0.12391102872788906,0.09303292632102966,0.061226457357406616,0.009248977527022362,0.04313546605408192,0.010300127789378166,136,0.07077108556363247,0.07077108556495659,1.3241172481387453e-12,9.094947017729282e-13,0.005758204031735659,0.05996571108698845,0.00504717044532299
1000,800,0.014627605676651001,0.04366746544837952,0.029039859771728516,0.01826883852481842,0.0003150142729282379,0.02044508419930935,0.004638528451323509,376,0.020295144990086555,0.05983884446322918,0.039543699473142624,0.02487672120332718,0.00016647391021251678,0.029803963378071785,0.004991685971617699,136,0.015564979987914285,0.015564979990585925,2.6716406864579767e-12,5.229594535194337e-12,0.0003004223108291626,0.011602407321333885,0.003662150353193283
1200,1000,-0.0033083208836615086,0.01519306330010295,0.018501384183764458,0.009751498699188232,0.00023714080452919006,0.002344511914998293,0.0028599118813872337,376,-0.0034627309069037437,0.021730528213083744,0.025193259119987488,0.01327863335609436,0.0005343975499272346,0.0048813242465257645,0.0030361730605363846,136,0.0030751945471741786,0.00307519454827343,1.0992514407406895e-12,3.183231456205249e-12,3.719702363014221e-06,0.0006988691166043282,0.002372605726122856
1400,1200,-0.03607716364786029,0.010623559821397066,0.046700723469257355,0.006838962435722351,0.0006201411597430706,0.0006245337426662445,0.0025399224832654,376,-0.05070360191166401,0.012888869270682335,0.06359247118234634,0.009312629699707031,0.000356053002178669,0.0008000088855624199,0.0024201776832342148,136,0.0037636738281028835,0.0037636738284163584,3.134747507144847e-13,1.3642420526593924e-12,0.00037458259612321854,0.0005181087180972099,0.002870982512831688
1600,1400,0.004909839015454054,0.012676652986556292,0.007766813971102238,0.0083918496966362,0.00020259758457541466,0.001871689222753048,0.002210516482591629,376,0.005595363676548004,0.01617144700139761,0.010576083324849606,0.011427201330661774,6.658770143985748e-05,0.0025992505252361298,0.002078407444059849,136,0.004122964573337593,0.004122964573753052,4.1545852045091203e-13,1.5916157281026244e-12,0.0007749311625957489,0.0007722782902419567,0.0025757551193237305
1800,1600,-0.018266194267198443,0.0031403929460793734,0.021406587213277817,0.0006230734288692474,0.000616264995187521,0.00016788090579211712,0.0017331736162304878,376,-0.02539446386799682,0.0037549436528934166,0.029149407520890236,0.0008484348654747009,0.00104534812271595,0.00024327221035491675,0.001617888454347849,136,0.00341850193320718,0.0034185019335382094,3.3102931203468633e-13,1.3642420526593924e-12,0.0008368222042918205,0.0005297758616507053,0.0020519038662314415
2000,1800,-0.004847939242608845,0.00936965539585799,0.014217594638466835,0.0075617581605911255,0.00022173859179019928,0.0002274088328704238,0.0013587498106062412,376,-0.00730151915922761,0.012058572378009558,0.019360091537237167,0.010296858847141266,0.00018179230391979218,0.00032152561470866203,0.0012583956122398376,136,0.0022985923576387076,0.0022985923578744405,2.3573300971836686e-13,9.094947017729282e-13,0.0001289420761168003,0.000533450162038207,0.0016362001188099384
