epoch,feature,threshold,left_rule,right_rule,left_class,right_class,accuracy,n_rows,val_island0,val_island1,attn_mass_6_island0,err_abs_mean_0,err_abs_mean_1,threshold_diff,err_abs_mean_diff_0_minus_1,delta_err_abs_mean_diff_0_minus_1,delta_attn_mass_6_island0
200,err_abs_mean,0.1569372490048408,err_abs_mean <= 0.156937 -> class 0,err_abs_mean >  0.156937 -> class 1,0,1,1.0,2,0.13475403395739,0.1791204654556863,0.1488338112831115,0.13475403395739,0.1791204654556863,-0.3104746863245964,-0.044366431498296305,0.34195584502159726,0.0041930079460143765
400,err_abs_mean,0.0901277614757418,err_abs_mean <= 0.0901278 -> class 1,err_abs_mean >  0.0901278 -> class 0,1,0,1.0,2,0.1577788473087105,0.0224766793441684,0.0934220105409622,0.1577788473087105,0.0224766793441684,-0.066809487529099,0.13530216796454209,0.1796685994628384,-0.055411800742149284
600,err_abs_mean,0.1045016534626483,err_abs_mean <= 0.104502 -> class 1,err_abs_mean >  0.104502 -> class 0,1,0,1.0,2,0.1089330556148544,0.1000702555346138,0.0306499265134334,0.1089330556148544,0.1000702555346138,0.0143738919869065,0.00886280008024061,-0.1264393678843015,-0.0627720840275288
800,err_abs_mean,0.0669326409697532,err_abs_mean <= 0.0669326 -> class 1,err_abs_mean >  0.0669326 -> class 0,1,0,1.0,2,0.0693914357652055,0.0644738448728971,0.0203497968614101,0.0693914357652055,0.0644738448728971,-0.0375690124928951,0.004917590892308393,-0.0039452091879322165,-0.010300129652023302
1000,err_abs_mean,0.0554772466421127,err_abs_mean <= 0.0554772 -> class 1,err_abs_mean >  0.0554772 -> class 0,1,0,1.0,2,0.0685442254898396,0.0424102704889853,0.0153581229969859,0.0685442254898396,0.0424102704889853,-0.011455394327640499,0.026133955000854303,0.02121636410854591,-0.004991673864424199
1200,err_abs_mean,0.0524009354412555,err_abs_mean <= 0.0524009 -> class 1,err_abs_mean >  0.0524009 -> class 0,1,0,1.0,2,0.0709639344602189,0.0338379377225304,0.0123219499364495,0.0709639344602189,0.0338379377225304,-0.003076311200857197,0.037125996737688495,0.010992041736834192,-0.0030361730605364
1400,err_abs_mean,0.0501990318298339,err_abs_mean <= 0.050199 -> class 1,err_abs_mean >  0.050199 -> class 0,1,0,1.0,2,0.0710139522685649,0.0293841130778138,0.009901768527925,0.0710139522685649,0.0293841130778138,-0.002201903611421599,0.0416298391907511,0.004503842453062602,-0.0024201814085244994
1600,err_abs_mean,0.0483122067525982,err_abs_mean <= 0.0483122 -> class 1,err_abs_mean >  0.0483122 -> class 0,1,0,1.0,2,0.0688608796038526,0.0277635327862192,0.0078233545646071,0.0688608796038526,0.0277635327862192,-0.0018868250772356987,0.041097346817633405,-0.000532492373117692,-0.0020784139633179006
1800,err_abs_mean,0.0434308210387826,err_abs_mean <= 0.0434308 -> class 1,err_abs_mean >  0.0434308 -> class 0,1,0,1.0,2,0.0634482644022779,0.0234133764854906,0.0062054707668721,0.0634482644022779,0.0234133764854906,-0.004881385713815606,0.0400348879167873,-0.0010624589008461083,-0.001617883797735
2000,err_abs_mean,0.0424670781940221,err_abs_mean <= 0.0424671 -> class 1,err_abs_mean >  0.0424671 -> class 0,1,0,1.0,2,0.0627711974084377,0.022162962345379,0.0049470723606646,0.0627711974084377,0.022162962345379,-0.0009637428447604943,0.040608235063058704,0.0005733471462714065,-0.0012583984062075
