epoch,threshold,val_island0,val_island1,accuracy,mid_err,err_gap,n_i0,y_mix_mean_i0,y_mix_std_i0,corr_y_mix_true_i0,y_stat_mean_i0,y_sem_mean_i0,delta_sun_mean_i0,delta_plant_mean_i0,delta_ratio_sun_over_plant_i0,attn_mean_0_i0,attn_mean_1_i0,attn_mean_2_i0,attn_mean_3_i0,attn_mean_4_i0,attn_mean_5_i0,attn_mean_6_i0,attn_mass_0_2_i0,attn_mass_3_5_i0,attn_mass_6_i0,n_i1,y_mix_mean_i1,y_mix_std_i1,corr_y_mix_true_i1,y_stat_mean_i1,y_sem_mean_i1,delta_sun_mean_i1,delta_plant_mean_i1,delta_ratio_sun_over_plant_i1,attn_mean_0_i1,attn_mean_1_i1,attn_mean_2_i1,attn_mean_3_i1,attn_mean_4_i1,attn_mean_5_i1,attn_mean_6_i1,attn_mass_0_2_i1,attn_mass_3_5_i1,attn_mass_6_i1,n_total,n_ratio_i0,n_ratio_i1,y_mix_mean_diff_i0_minus_i1,delta_sun_mean_diff_i0_minus_i1,delta_plant_mean_diff_i0_minus_i1,attn_mass_0_2_diff_i0_minus_i1,attn_mass_3_5_diff_i0_minus_i1,attn_mass_6_diff_i0_minus_i1
0,0.4674119353294372,0.2742508058535292,0.6605730823734227,1.0,0.467411944113476,-0.38632227651989354,376,0.6686887741088867,0.0009319523232989,0.7538513541221619,0.6437496542930603,0.6936278939247131,0.0012260613730177,0.0080859791487455,0.1516278776119728,0.1399664282798767,0.1409114003181457,0.1409132033586502,0.1452069580554962,0.1440464556217193,0.1443144977092743,0.1446408033370971,0.4217910170555115,0.4335679113864898,0.1446408033370971,136,0.6605730652809143,0.0007850969559513,0.0,0.6289668679237366,0.692179262638092,0.0010320114670321,0.0,103201.14670321344,0.1416679322719574,0.1406798064708709,0.1405900120735168,0.1448532044887542,0.1435351222753524,0.1443598866462707,0.1443139761686325,0.4229377508163452,0.4327481985092163,0.1443139761686325,512,0.734375,0.265625,0.008115708827972412,0.00019404990598559987,0.0080859791487455,-0.0011467337608337402,0.0008197128772735041,0.00032682716846460513
200,0.1569372490048408,0.13475403395739,0.1791204654556863,1.0,0.15693724970653816,-0.044366431498296305,376,0.8702467083930969,0.2155960202217102,0.677250325679779,0.9614135026931764,0.7790800333023071,0.371778130531311,0.6892917156219482,0.5393625321642378,0.1152956113219261,0.1311584711074829,0.1311337649822235,0.1539424061775207,0.17424076795578,0.1453950405120849,0.1488338112831115,0.3775878548622131,0.4735782146453857,0.1488338112831115,136,0.1791204512119293,0.0234102364629507,0.0,0.3582399189472198,1.0003217312259949e-06,0.0359273888170719,0.0,3592738.8817071915,0.1344650685787201,0.1181620955467224,0.1167005449533462,0.1604713499546051,0.18225659430027,0.1557885408401489,0.1321558505296707,0.3693277239799499,0.4985164999961853,0.1321558505296707,512,0.734375,0.265625,0.6911262571811676,0.33585074171423906,0.6892917156219482,0.008260130882263184,-0.024938285350799616,0.0166779607534408
400,0.0901277614757418,0.1577788473087105,0.0224766793441684,1.0,0.09012776332643946,0.13530216796454209,376,0.8469494581222534,0.287400335073471,0.7571423649787903,2.3059065341949463,0.823961615562439,0.5974968075752258,0.824381411075592,0.7247819908358148,0.0920844450592994,0.1142388731241226,0.1132038384675979,0.1345769762992859,0.3471066355705261,0.1053671091794967,0.0934220105409622,0.3195271492004394,0.58705073595047,0.0934220105409622,136,0.0224766805768013,0.0011458175722509,0.0,1.4489315748214722,1.000001930151484e-06,0.0020040953531861,0.0,200409.53531861305,0.1078814789652824,0.088598720729351,0.0861547663807869,0.1491123288869857,0.3650373518466949,0.1312556862831115,0.0719597712159156,0.282634973526001,0.6454053521156311,0.0719597712159156,512,0.734375,0.265625,0.8244727775454521,0.5954927122220397,0.824381411075592,0.03689217567443842,-0.05835461616516113,0.02146223932504661
600,0.1045016534626483,0.1089330556148544,0.1000702555346138,1.0,0.10450165557473409,0.00886280008024061,376,0.8928723335266113,0.2232119292020797,0.7678134441375732,1.1213489770889282,0.8016826510429382,0.4935355484485626,0.7911002039909363,0.6238597079360885,0.1286112964153289,0.1242576390504837,0.122822567820549,0.1720370650291443,0.3225074410438537,0.0991140156984329,0.0306499265134334,0.3756915330886841,0.5936585068702698,0.0306499265134334,136,0.1000702530145645,0.0209342427551746,0.0,0.3507945239543915,1.0000048860092647e-06,0.02712994068861,0.0,2712994.068861008,0.113596960902214,0.1119792982935905,0.1111587360501289,0.1998110860586166,0.2948639988899231,0.1416580975055694,0.0269317887723445,0.3367349803447723,0.6363332271575928,0.0269317887723445,512,0.734375,0.265625,0.7928020805120468,0.4664056077599526,0.7911002039909363,0.0389565527439118,-0.042674720287323,0.003718137741088902
800,0.0669326409697532,0.0693914357652055,0.0644738448728971,1.0,0.0669326403190513,0.004917590892308393,376,0.9034820199012756,0.1736887097358703,0.8208301663398743,0.9366466403007508,0.8807283639907837,0.489366739988327,0.836579442024231,0.5849614627806479,0.1439881920814514,0.1139786094427108,0.1112286895513534,0.2014422863721847,0.260065495967865,0.1489468663930893,0.0203497968614101,0.3691955208778381,0.6104546785354614,0.0203497968614101,136,0.06447384506464,0.0301968026906251,0.0,0.1584469527006149,1.0000053407566156e-06,0.0307995956391096,0.0,3079959.563910961,0.0919867604970932,0.1158088594675064,0.1190923675894737,0.2397937476634979,0.2128212451934814,0.1986123770475387,0.021884623914957,0.3268879950046539,0.6512273550033569,0.021884623914957,512,0.734375,0.265625,0.8390081748366356,0.4585671443492174,0.836579442024231,0.042307525873184204,-0.04077267646789551,-0.001534827053546902
1000,0.0554772466421127,0.0685442254898396,0.0424102704889853,1.0,0.05547724798941245,0.026133955000854303,376,0.9120618104934692,0.1538814455270767,0.8172610998153687,0.9175851941108704,0.9073530435562134,0.4761761724948883,0.8674978613853455,0.5489075975880628,0.1436693668365478,0.1064978018403053,0.1044427454471588,0.2192239016294479,0.2093512117862701,0.2014567404985427,0.0153581229969859,0.3546099066734314,0.6300318241119385,0.0153581229969859,136,0.0424102693796157,0.0277240592986345,0.0,0.0921565741300582,1.000002725959348e-06,0.025688536465168,0.0,2568853.6465168,0.0883285030722618,0.1195602118968963,0.1246550679206848,0.2099694013595581,0.2032341957092285,0.2360301613807678,0.0182224661111831,0.3325437903404236,0.6492337584495544,0.0182224661111831,512,0.734375,0.265625,0.8696515411138536,0.4504876360297203,0.8674978613853455,0.022066116333007812,-0.019201934337615967,-0.0028643431141972004
1200,0.0524009354412555,0.0709639344602189,0.0338379377225304,1.0,0.05240093609137465,0.037125996737688495,376,0.9221314787864684,0.1513403952121734,0.8133236169815063,0.91501122713089,0.9288284778594972,0.4753306806087494,0.8863563537597656,0.536274911585766,0.1347194761037826,0.0982601419091224,0.0968260541558265,0.2270751297473907,0.2055263966321945,0.2252708822488784,0.0123219499364495,0.3298056721687317,0.6578723788261414,0.0123219499364495,136,0.03383794054389,0.0257593877613544,0.0,0.0698133185505867,1.0000015890909708e-06,0.0226201172918081,0.0,2262011.729180813,0.0887036994099617,0.1232915893197059,0.1293820142745971,0.2011125683784485,0.203546792268753,0.2381133437156677,0.0158498622477054,0.341377317905426,0.6427726745605469,0.0158498622477054,512,0.734375,0.265625,0.8882935382425784,0.45271056331694126,0.8863563537597656,-0.011571645736694336,0.015099704265594482,-0.0035279123112559006
1400,0.0501990318298339,0.0710139522685649,0.0293841130778138,1.0,0.05019903267318935,0.0416298391907511,376,0.8848685622215271,0.1387102007865905,0.8195891380310059,0.9008062481880188,0.8685684204101562,0.4333789944648742,0.8536766767501831,0.5076617426612433,0.137650191783905,0.0965804308652877,0.0956861451268196,0.2352908551692962,0.1969274133443832,0.2279628962278366,0.009901768527925,0.329916775226593,0.6601811647415161,0.009901768527925,136,0.0293841138482093,0.0246815793216228,0.0,0.0581135787069797,1.0000012480304576e-06,0.0208173561841249,0.0,2081735.618412495,0.0862743332982063,0.1250141859054565,0.1320367902517318,0.206492081284523,0.1970070004463195,0.2401967644691467,0.0129788806661963,0.3433253169059753,0.6436958312988281,0.0129788806661963,512,0.734375,0.265625,0.8554844483733178,0.4125616382807493,0.8536766767501831,-0.013408541679382269,0.01648533344268799,-0.003077112138271299
1600,0.0483122067525982,0.0688608796038526,0.0277635327862192,1.0,0.0483122061950359,0.041097346817633405,376,0.8891947269439697,0.1368934363126754,0.8288289904594421,0.9016767740249634,0.8743163347244263,0.4199338555335998,0.8596307635307312,0.4885049121831926,0.1405995041131973,0.094299279153347,0.0937206372618675,0.2184673398733139,0.2114679515361786,0.2336219400167465,0.0078233545646071,0.3286194205284118,0.663557231426239,0.0078233545646071,136,0.027763532474637,0.0253043491393327,0.0,0.0510546267032623,1.0000009069699445e-06,0.0205725487321615,0.0,2057254.873216152,0.0822923630475997,0.1253682374954223,0.1332989931106567,0.199863314628601,0.2046009451150894,0.2441729605197906,0.0104031199589371,0.3409596085548401,0.6486371755599976,0.0104031199589371,512,0.734375,0.265625,0.8614311944693327,0.3993613068014383,0.8596307635307312,-0.012340188026428278,0.014920055866241455,-0.0025797653943300004
1800,0.0434308210387826,0.0634482644022779,0.0234133764854906,1.0,0.043430820443884244,0.0400348879167873,376,0.9022890329360962,0.1445317417383194,0.8411347270011902,0.9019867777824402,0.9025851488113404,0.4656582176685333,0.8772900104522705,0.5307916502098952,0.1424813866615295,0.0916247144341468,0.0913349241018295,0.2188593298196792,0.2115292996168136,0.2379646897315979,0.0062054707668721,0.3254410028457641,0.6683533191680908,0.0062054707668721,136,0.0234133768826723,0.0225758142769336,0.0,0.0473280176520347,1.000000565909431e-06,0.0178972911089658,0.0,1789729.1108965874,0.0774600282311439,0.1241518482565879,0.132622480392456,0.2060876786708831,0.2044266462326049,0.2469001710414886,0.0083512179553508,0.334234356880188,0.6574144959449768,0.0083512179553508,512,0.734375,0.265625,0.8788756560534239,0.4477609265595675,0.8772900104522705,-0.008793354034423884,0.010938823223114014,-0.0021457471884786996
