feature,importance_mean,importance_std
attn_mass_0_2,0.018143473695895317,0.004096692086550602
attn_mass_3_5,0.016970803724597062,0.003657224782109245
attn_mass_6,0.009912807263989272,0.0028057309248401582
delta_sun_mean,0.007666436001548792,0.001704706174278839
y_mix_mean,0.005550448525948399,0.0012170664319510827
y_mix_std,0.004453718849307766,0.0011932320545198028
y_stat_mean,0.0006483956364475504,0.00019622913259670154
delta_ratio_sun_over_plant,0.0003078315915026472,0.00033111513234919876
delta_plant_mean,0.00027089654489863063,9.406193718876373e-05
y_sem_mean,0.0001694950428083948,6.002195044854225e-05
plant_is_zero,0.0001320112576282286,6.422225725034217e-05
sun_std,0.00010954528140461869,5.5125920498375485e-05
water_mean,8.748298060994336e-05,5.887022789171688e-05
sun_minus_water_mean,6.437512151971823e-05,2.7581865188951057e-05
plant_mean,6.334184806852314e-05,3.276583112922271e-05
sun_plus_water_mean,4.709527248995725e-05,2.290544376566569e-05
water_std,3.791840128451615e-05,2.127130897536407e-05
sun_mean,2.74503835895034e-05,4.0644846691096066e-05
plant_std,2.706168622523819e-18,3.2760104723730465e-18
