feature,importance_mean,importance_std
y_sem_mean,0.08603772229790857,0.018184277675186076
y_mix_mean,0.06524703334566073,0.014459796415116277
attn_mass_0_2,0.02293829126235178,0.006093234537581668
y_stat_mean,0.018586356414910167,0.005589203800631494
attn_mass_3_5,0.010121813257916844,0.004243226041769466
y_mix_std,0.009902480713266892,0.003990514622224529
sun_plus_water_mean,0.008712254949334215,0.00365563429154232
water_std,0.008712254949334109,0.003655634291542295
sun_minus_water_mean,0.0087122549493341,0.0036556342915422925
plant_is_zero,0.0087122549493336,0.0036556342915421746
sun_std,0.008712254949333588,0.0036556342915421737
water_mean,0.008712254949333578,0.00365563429154217
plant_mean,0.008712254949333533,0.0036556342915421594
sun_mean,0.008712254949333469,0.003655634291542143
delta_plant_mean,0.0032178997745867938,0.002516423871010266
attn_mass_6,0.0013948052606136856,0.0024632736031777753
delta_ratio_sun_over_plant,0.0006610864791802218,0.0010429578095025962
plant_std,0.0,0.0
delta_sun_mean,-0.0001908567308906029,0.0008045388172748811
