feature,importance_mean,importance_std
attn_mass_6,0.025618807762989936,0.006908348205500533
attn_mass_0_2,0.024730253417383535,0.006277167276430268
attn_mass_3_5,0.013267908040241081,0.0035736350608990206
delta_sun_mean,0.00932881068813868,0.00238590548484628
y_mix_mean,0.00737641500779173,0.0019886008552721175
y_mix_std,0.003948727132952348,0.0010515852735461999
y_stat_mean,0.0015403953326120936,0.0004967313312104979
delta_ratio_sun_over_plant,0.0008499324304170108,0.0005655150269988822
delta_plant_mean,0.0005732310902767555,0.000300597289091104
y_sem_mean,0.0004312985689633294,0.00021267710335207618
plant_is_zero,0.0003559943178059053,0.00022577877776558668
sun_minus_water_mean,0.00030137899639592826,0.00013554091458721387
plant_mean,0.0002826249625804766,0.00016121705755016785
sun_std,0.0002635031140189309,0.0002647071123125807
water_std,0.0002549470774863259,0.00013963632211133012
water_mean,0.0002258602317727459,0.0001534114900345896
sun_mean,0.0002168824381550625,0.0001363847036251254
sun_plus_water_mean,0.0001818645378269941,0.00011893289743067869
plant_std,1.3877787807814457e-19,9.714451465470119e-19
