feature,importance_mean,importance_std
y_sem_mean,0.07528830083085578,0.016734976045836007
y_mix_mean,0.04671950990863334,0.011667004746603517
attn_mass_0_2,0.025778859220279955,0.006492028784630294
y_stat_mean,0.023270200266271177,0.006816654382525646
delta_plant_mean,0.021115072518622605,0.007225940566259683
attn_mass_3_5,0.010717499016002203,0.0047011735836683085
water_std,0.005022695253464039,0.0023971399582652054
sun_minus_water_mean,0.0050226952534640325,0.0023971399582652024
sun_plus_water_mean,0.005022695253464009,0.002397139958265197
sun_std,0.0050226952534637645,0.0023971399582651343
plant_mean,0.005022695253463732,0.0023971399582651256
plant_is_zero,0.005022695253463727,0.0023971399582651235
water_mean,0.005022695253463705,0.00239713995826512
sun_mean,0.005022695253463653,0.002397139958265105
y_mix_std,0.0041094779066012735,0.0031276747550134315
attn_mass_6,0.0015510729039030385,0.0026070525079537905
delta_sun_mean,0.0004016699804104401,0.0012242843024644027
plant_std,0.0,0.0
delta_ratio_sun_over_plant,-0.00014573267780413067,0.0006869704074524386
