feature,importance_mean,importance_std
delta_ratio_sun_over_plant,0.01805423843241468,0.00402825812930214
attn_mass_3_5,0.009883287610988912,0.0024286213577092244
attn_mass_0_2,0.008355433296935201,0.0022342037688298827
delta_sun_mean,0.008000471797364522,0.0022699728874754606
y_mix_std,0.007539514383493417,0.0021245754294901965
y_mix_mean,0.003347391120488662,0.0004971742929996713
attn_mass_6,0.0013111708931203565,0.00032462141448789375
water_mean,0.0009878632196143077,0.00044203546866987886
sun_mean,0.0008960669947759224,0.00040127559658358265
plant_mean,0.0008150650697073719,0.0003639860557737302
delta_plant_mean,0.0008113493038186467,0.0003807948389504791
y_sem_mean,0.0008113185503767326,0.00023943736062860465
y_stat_mean,0.0008009853647884222,0.0002074677776552332
water_std,0.0007171098169568706,0.00036029092590584655
sun_std,0.0006868925472595696,0.0003587939816788654
plant_is_zero,0.0006600992179201412,0.00033356555982896793
sun_minus_water_mean,0.000614251320447613,0.0003041786369476601
sun_plus_water_mean,0.00048328107407469246,0.00027934623953674117
plant_std,6.938893903907229e-20,4.857225732735059e-19
