feature,importance_mean,importance_std
y_mix_mean,0.1108551906390449,0.021919941782750384
y_sem_mean,0.10520667066947181,0.02120678699989015
delta_plant_mean,0.06118261195135286,0.014778328927894397
sun_plus_water_mean,0.038147213538139525,0.009156917131005318
water_std,0.03814721353813911,0.009156917131005225
sun_minus_water_mean,0.03814721353813905,0.009156917131005216
plant_is_zero,0.038147213538137895,0.00915691713100496
water_mean,0.03814721353813784,0.009156917131004949
sun_std,0.03814721353813779,0.009156917131004937
sun_mean,0.03814721353813748,0.00915691713100487
plant_mean,0.03814721353813739,0.009156917131004852
delta_sun_mean,0.03344029902801962,0.00864767871330334
attn_mass_0_2,0.013960703422106702,0.0033446521611214665
y_mix_std,0.01012608543465726,0.0037509597442654946
attn_mass_3_5,0.0039071062527907515,0.0021841479501733436
delta_ratio_sun_over_plant,0.0024150667824817877,0.002152981128382498
y_stat_mean,0.0003766560488509545,0.001143173199568897
plant_std,0.0,0.0
attn_mass_6,-0.00043376692602338626,0.0012994959797011673
