target,feature_set,model,r2_oof,mae_oof,n_rows,n_epochs,n_features_raw
err_abs_mean,no_island,rf,0.20907397141242312,0.04763072813609428,22,11,19
err_abs_mean,with_island,rf,0.2081961782063767,0.04804399410955398,22,11,20
err_abs_mean,no_island,ridge,-0.21535898817026022,0.07633704702658485,22,11,19
err_abs_mean,with_island,ridge,-0.2163298083447147,0.07637979489641553,22,11,20
err_abs_p90,with_island,rf,0.24086368754280874,0.0618702838122845,22,11,20
err_abs_p90,no_island,rf,0.22036441178140287,0.06329383554445073,22,11,19
err_abs_p90,no_island,ridge,-0.3277060885097327,0.0865093274367335,22,11,19
err_abs_p90,with_island,ridge,-0.3284363429664734,0.08651377881962322,22,11,20
err_signed_mean,with_island,rf,0.0916240420208656,0.05626482541720113,22,11,20
err_signed_mean,no_island,rf,0.08607934636177472,0.05649248247137455,22,11,19
err_signed_mean,no_island,ridge,-0.1287529219795729,0.0820192869065951,22,11,19
err_signed_mean,with_island,ridge,-0.12965601432076257,0.08208372873768822,22,11,20
