feature,perm_importance_mean,perm_importance_std
delta_dC_all,0.06009648870414355,0.028891651185438655
delta_d_self_0,0.03913868058645389,0.01898322814986988
delta_d_self_all,0.038121590298339045,0.018635445393769785
delta_epsilon_1,0.03713400289794073,0.018779292983464674
delta_dM_all,0.03237931391720244,0.016161626875447557
delta_epsilon_0,0.03176225227399228,0.015578776029615658
delta_attn_mass_6_island1,0.027157593448247988,0.013780096912632617
delta_epsilon_all,0.025676256382672014,0.012641166693221833
delta_attn_mass_6_island0,0.02426150485156846,0.01224052154981923
delta_d_cf_1,0.02140505028953408,0.01121005707587997
delta_d_cf_0,0.015027784337217263,0.008087287104496504
delta_d_cf_all,0.011292633132271728,0.006945725920541691
delta_delta_ratio_sun_over_plant_diff_0_minus_1,0.01101715131249795,0.0050372004935332615
delta_attn_mass_0_2_island0,0.008255305353752122,0.003776386059682939
delta_delta_ratio_sun_over_plant_island1,0.0072009329578083285,0.0035087001890078766
delta_err_signed_mean_island0,0.006728535130333435,0.003333328271819099
delta_y_sem_mean_island1,0.006412820204573297,0.0029964883405473445
delta_y_stat_mean_diff_0_minus_1,0.006218587231821473,0.003024957445018063
delta_attn_mass_0_2_diff_0_minus_1,0.006009518820545425,0.002568105792896415
delta_err_abs_mean_island0,0.005675800875529697,0.00262474614793264
delta_attn_mass_3_5_island0,0.005292207834251581,0.004725678064372149
delta_y_mix_mean_island0,0.004053615814472182,0.0024194488048050133
delta_err_abs_p90_diff_0_minus_1,0.003954506319389199,0.0017107071431479491
delta_err_abs_p90_island0,0.0035822838337100336,0.0017162956599603056
delta_delta_sun_mean_island1,0.0035298663517553354,0.001602648457337901
delta_err_abs_mean_diff_0_minus_1,0.0030746032997709216,0.0016585908552861994
delta_err_abs_p90_island1,0.0027958013044239016,0.001315518948336947
delta_attn_mass_3_5_diff_0_minus_1,0.00276196957904949,0.001615890668575064
delta_attn_mass_6_diff_0_minus_1,0.0023340541287165985,0.0013009561238641364
delta_d_self_1,0.0022469178181086158,0.001442318194791917
delta_err_signed_mean_island1,0.001958307197415936,0.0018528314887851878
delta_delta_ratio_sun_over_plant_island0,0.0018790185264226911,0.0013596049314781736
delta_y_mix_std_island1,0.0010986706225739184,0.0007262344386963299
delta_y_mix_mean_island1,0.0009548320865214954,0.0009079550118607901
delta_y_sem_mean_island0,0.0006014751644613625,0.0009265797275365313
delta_corr_y_mix_true_island0,0.0005753144892361539,0.0008565836488492022
delta_attn_mass_3_5_island1,0.0005752294231492794,0.0012633224952009942
delta_y_mix_mean_diff_0_minus_1,0.0003648160409819301,0.0009777626624479395
delta_delta_sun_mean_island0,0.0002597385413260045,0.00016985167256437913
delta_y_sem_mean_diff_0_minus_1,0.00022090893111075037,0.0004377292882288947
delta_y_stat_mean_island0,0.00015370184681571698,0.00015548243219456136
delta_delta_sun_mean_diff_0_minus_1,6.574795902018815e-05,0.00015064833989803352
delta_err_signed_mean_diff_0_minus_1,5.204119004131425e-05,5.932586135881124e-05
delta_y_mix_std_diff_0_minus_1,1.93010265654836e-05,2.2357698903637603e-05
delta_water_mean_island1,0.0,0.0
delta_water_mean_island0,0.0,0.0
delta_sun_mean_island1,0.0,0.0
delta_sun_mean_island0,0.0,0.0
delta_plant_std_island1,0.0,0.0
delta_plant_std_island0,0.0,0.0
delta_plant_mean_island1,0.0,0.0
delta_plant_mean_island0,0.0,0.0
delta_sun_std_island1,0.0,0.0
delta_sun_std_island0,0.0,0.0
delta_water_std_diff_0_minus_1,0.0,0.0
delta_water_std_island0,0.0,0.0
delta_plant_mean_diff_0_minus_1,0.0,0.0
delta_plant_std_diff_0_minus_1,0.0,0.0
delta_sun_std_diff_0_minus_1,0.0,0.0
delta_water_std_island1,0.0,0.0
delta_water_mean_diff_0_minus_1,0.0,0.0
delta_delta_plant_mean_island1,0.0,0.0
delta_corr_y_mix_true_island1,0.0,0.0
delta_sun_mean_diff_0_minus_1,0.0,0.0
delta_delta_plant_mean_diff_0_minus_1,-6.084332838397488e-05,0.0002220411326742651
delta_delta_plant_mean_island0,-7.043366783429316e-05,0.00013621062468972795
delta_err_abs_mean_island1,-0.00013729657254942128,0.0001451708172232066
delta_corr_y_mix_true_diff_0_minus_1,-0.00014407388031425938,0.0003136206412024877
delta_y_stat_mean_island1,-0.0007076886068258248,0.0005955289977879868
delta_d_att_all,-0.0012839054948313655,0.0027135555613367166
delta_y_mix_std_island0,-0.0013410697657480618,0.0010936817973323284
delta_d_att_0,-0.0014628512175762288,0.0019303196392993782
delta_d_att_1,-0.0017125985721720483,0.002770507962786154
delta_attn_mass_0_2_island1,-0.002422740744774858,0.0035327693399511634
