feature,coef_mean,coef_std,abs_coef_mean,sign_consistency,top10_freq,top20_freq,loo_top10_freq,loo_used_folds
Xprev__prof__attn_mean_3_diff_0_minus_1,-0.17094346634527768,0.09411335884678293,0.17094346634527768,1.0,0.775,0.84,1.0,9
Xprev__prof__attn_mean_5_island0,-0.11480563619614637,0.03972902727621135,0.11480563619614637,1.0,0.47,0.7,0.8888888888888888,9
Xprev__prof__attn_mass_0_2_diff_0_minus_1,0.110178642597231,0.07972781096554465,0.110178642597231,0.965,0.495,0.5725,0.6666666666666666,9
Xprev__prof__attn_mean_4_diff_0_minus_1,0.10969493288371682,0.09603814914536334,0.10969493288371682,0.86,0.5375,0.63,0.8888888888888888,9
Xprev__prof__attn_mass_3_5_diff_0_minus_1,-0.10808227950712106,0.06406304521668221,0.10808227950712106,0.9875,0.4825,0.5925,0.6666666666666666,9
Xprev__prof__attn_mean_5_island1,-0.10267775144154198,0.024564127213999913,0.10267775144154198,1.0,0.405,0.6875,0.8888888888888888,9
Xprev__prof__attn_mean_4_island0,0.09564887118463153,0.038791721459633124,0.09564887118463153,0.985,0.3625,0.6,0.7777777777777778,9
Xprev__env__err_signed_min_diff_0_minus_1,-0.09416022481770941,0.021070519680283818,0.09416022481770941,1.0,0.0625,0.505,0.1111111111111111,9
Xprev__prof__attn_mean_5_diff_0_minus_1,-0.09336557416693132,0.08670828328915067,0.09336557416693132,0.8725,0.3925,0.5075,0.5555555555555556,9
Xprev__env__err_signed_min_island0,-0.09148807355118292,0.025842667495071553,0.09148807355118292,1.0,0.105,0.4225,0.1111111111111111,9
Xprev__env__err_abs_max_island0,0.09148807355118292,0.025842667495071553,0.09148807355118292,1.0,0.1025,0.415,0.1111111111111111,9
Xprev__prof__attn_mean_1_diff_0_minus_1,0.09025068189785916,0.03209963725684169,0.09025068189785916,0.9925,0.1125,0.43,0.0,9
Xprev__env__err_signed_max_island0,-0.088770842663771,0.05917194700734718,0.088770842663771,0.92,0.36,0.4975,0.6666666666666666,9
Xprev__prof__attn_mean_3_island0,-0.08868311912107166,0.017988724602101446,0.08868311912107166,1.0,0.2175,0.445,0.1111111111111111,9
Xprev__prof__attn_mean_2_diff_0_minus_1,0.08707548145025737,0.02673176587423532,0.08707548145025737,0.9925,0.0425,0.3775,0.0,9
Xprev__prof__delta_ratio_sun_over_plant_island0,0.08471618633012783,0.024541137156795914,0.08471618633012783,1.0,0.0125,0.315,0.0,9
Xprev__prof__attn_mean_1_island0,0.0846077301921701,0.031015985392025554,0.0846077301921701,0.99,0.0625,0.3975,0.0,9
Xprev__env__err_signed_max_diff_0_minus_1,-0.0842414858521938,0.052882904265787206,0.0842414858521938,0.9225,0.3325,0.465,0.7777777777777778,9
Xprev__prof__y_mix_std_island0,0.08119420784194306,0.01367098688455405,0.08119420784194306,1.0,0.0425,0.2175,0.0,9
Xprev__prof__attn_mean_2_island0,0.08105349492733419,0.025264489649887416,0.08105349492733419,0.99,0.0225,0.32,0.0,9
Xprev__prof__attn_mean_2_island1,-0.08016621602105242,0.020805839505718036,0.08016621602105242,0.995,0.005,0.18,0.0,9
Xprev__prof__attn_mean_1_island1,-0.07665274253104762,0.023299058933946844,0.07665274253104762,0.9925,0.0475,0.1225,0.0,9
Xprev__prof__y_mix_std_diff_0_minus_1,0.07543047145788458,0.016687379878718465,0.07543047145788458,1.0,0.0525,0.1875,0.0,9
Xprev__prof__delta_plant_mean_diff_0_minus_1,-0.07467240399568544,0.02319562883527752,0.07467240399568544,1.0,0.095,0.2125,0.1111111111111111,9
