feature,coef_mean,coef_std,abs_coef_mean,sign_consistency,top10_freq,top20_freq,loo_top10_freq,loo_used_folds
Xprev__env__err_signed_max_diff_0_minus_1,0.07698178274231969,0.02491780601302912,0.07698178274231969,1.0,0.7825,0.86,1.0,3
Xprev__prof__attn_mass_0_2_island0,-0.07362930713471766,0.02091625004357435,0.07362930713471766,1.0,0.405,0.7925,0.3333333333333333,3
Xprev__env__err_abs_min_island0,0.07130101597823574,0.020923272646022555,0.07130101597823574,1.0,0.15,0.58,0.0,3
Xprev__prof__y_stat_mean_island1,0.07094015551761963,0.01765567236605601,0.07094015551761963,1.0,0.275,0.5475,0.3333333333333333,3
Xprev__env__err_abs_p75_diff_0_minus_1,0.06998838604559202,0.016789673102490254,0.06998838604559202,1.0,0.345,0.38,0.3333333333333333,3
Xprev__prof__y_stat_mean_island0,0.06981695327122088,0.016639002249873556,0.06981695327122088,1.0,0.345,0.345,0.3333333333333333,3
Xprev__env__err_signed_mean_island0,-0.06883456128543233,0.016739113532769464,0.06883456128543233,1.0,0.3425,0.4,0.3333333333333333,3
Xprev__prof__y_mix_mean_island0,-0.06883448509900418,0.016739050137904343,0.06883448509900418,1.0,0.28,0.3425,0.3333333333333333,3
Xprev__env__err_signed_p90_diff_0_minus_1,0.06873440198857998,0.015706714703875434,0.06873440198857998,1.0,0.22,0.345,0.0,3
Xprev__prof__attn_mean_1_island1,-0.06815595356082943,0.015239225747705115,0.06815595356082943,1.0,0.085,0.3675,0.0,3
Xprev__env__err_abs_p50_diff_0_minus_1,0.0676383126558346,0.014831623358433355,0.0676383126558346,1.0,0.15,0.3875,0.0,3
Xprev__prof__delta_ratio_sun_over_plant_island1,-0.06716489403035247,0.014424374174114811,0.06716489403035247,1.0,0.0075,0.3125,0.0,3
Xprev__prof__delta_sun_mean_island1,-0.06716489403035235,0.014424374174114775,0.06716489403035235,1.0,0.0075,0.3875,0.0,3
Xprev__prof__delta_ratio_sun_over_plant_diff_0_minus_1,0.06716489369115138,0.014424373918495418,0.06716489369115138,1.0,0.0075,0.28,0.0,3
Xprev__prof__attn_mean_2_island1,-0.06699615987519363,0.014567020278769549,0.06699615987519363,1.0,0.2825,0.435,0.3333333333333333,3
Xprev__env__err_abs_mean_diff_0_minus_1,0.06679409978865118,0.014036368399780038,0.06679409978865118,1.0,0.0,0.3025,0.0,3
Xprev__prof__attn_mean_0_island0,-0.06666146916485521,0.014757236142070715,0.06666146916485521,1.0,0.1975,0.3925,0.3333333333333333,3
Xprev__env__err_abs_p90_diff_0_minus_1,0.06623756530240728,0.014152308330018716,0.06623756530240728,1.0,0.195,0.2325,0.3333333333333333,3
Xprev__env__err_abs_std_island1,-0.0658074041812088,0.014052265847855383,0.0658074041812088,1.0,0.1375,0.2425,0.3333333333333333,3
Xprev__env__err_signed_std_island1,-0.0658074041812088,0.014052265847855383,0.0658074041812088,1.0,0.1375,0.235,0.3333333333333333,3
Xprev__prof__y_mix_std_island1,-0.0658074033221601,0.0140522654749181,0.0658074033221601,1.0,0.125,0.2025,0.3333333333333333,3
Xprev__env__err_signed_p25_island0,-0.06568827844865889,0.014383945677804528,0.06568827844865889,1.0,0.0125,0.3625,0.0,3
Xprev__env__err_abs_std_diff_0_minus_1,0.06549747590380224,0.013965169912784157,0.06549747590380224,1.0,0.0,0.3475,0.0,3
Xprev__env__err_abs_std_island0,0.06524560597462313,0.01389183055345307,0.06524560597462313,1.0,0.0075,0.325,0.0,3
Xprev__prof__attn_mass_0_2_island1,-0.06396363778161476,0.012134850165413675,0.06396363778161476,1.0,0.33,0.3525,0.3333333333333333,3
